cause,effect,sentence,source
soka_gakkai,"renewed_interest_in_buddhism_among_urban_,_upper_middle_class_,_english-speaking_youth","In India the Soka Gakkai is associated with a renewed interest in Buddhism among urban, upper middle class, English-speaking youth.",wikipedia_sentence
slavery,economic_disparities,"While long term conflict between the northern and southern states (mainly due to the economic disparities and moral questions caused by slavery) was the cause of the American Civil War, the Confederate attack on Fort Sumter (April 12–14, 1861) served as casus belli for igniting the deadliest war in American history.",wikipedia_sentence
capitalism,shifting_of_geographic_power_centers_to_lower_the_inequalities,"Economically, historians like Samir Amin believe in the shifting of geographic power centers to lower the inequalities that capitalism causes.",wikipedia_sentence
crime,erroneous_arrest_record,"The crime resulted in my erroneous arrest record, a warrant out for my arrest, and eventually, a prison record when she was booked under my name as an inmate in the Chicago Federal Prison.""",wikipedia_sentence
slavery,hardening_of_racial_lines,"Historians believe the rebellion hastened the hardening of racial lines associated with slavery, as a way for planters and the colony to control some of the poor.",wikipedia_sentence
crime,moral_imbalance,"Severity can be determined by the amount of harm, unfair advantage or the moral imbalance that the crime caused.",wikipedia_sentence
crime,danger_to_the_military_unit,"During wartime, the crimes carry considerably larger sentence ranges and, if the crime causes the danger to the military unit, the sentence range is even harsher.",wikipedia_sentence
plato,similarities_between_the_demotic_texts_and_platonic_philosophy,Some similarities between the Demotic texts and Platonic philosophy could be the result of Plato and his followers' having drawn on Egyptian sources.,wikipedia_sentence
terrorism,implementation_of_sharia,"Pipes explained his opposition: ""It is hard to see how violence, how terrorism will lead to the implementation of sharia.",wikipedia_sentence
judas_iscariot,group_of_temple_guards_to_the_forest,"Meanwhile, Judas Iscariot, another of Jesus' disciples, having received a bribe of thirty pieces of silver, leads a group of temple guards to the forest and betrays Jesus (by confirmation of his identity) with a simple kiss on the cheek.",wikipedia_sentence
crime,remaining_deaths,"The remaining deaths were attributed to anti-occupation forces (9%), crime (36%), and unknown agents (11%).",wikipedia_sentence
crime,migration_of_large_numbers_of_unaccompanied_minors_to_the_us_border,Crime and economic stress have led to the migration of large numbers of unaccompanied minors to the US border.,wikipedia_sentence
pollution,egg_loss,"Pollution has been a problem in some areas, and in the 1960s and 1970s DDT caused egg loss through thinning of the shells.",wikipedia_sentence
oil_drilling,mexico_becoming_the_world_'s_second-largest_oil_producer,"Oil drilling in such areas resulted in Mexico becoming the world's second-largest oil producer by 1921, and supplying approximately 20 percent of domestic demand in the United States.",wikipedia_sentence
crime,citizens_who_must_take_up_the_majority_of_the_responsibility_in_healing_the_pains,"According to John Braithwaite, restorative justice is:\n\n\nAlthough law professionals may have secondary roles in facilitating the restorative justice process, it is the citizens who must take up the majority of the responsibility in healing the pains caused by crime.",wikipedia_sentence
crime,offenders,"By repairing the harm to the relationships between offenders and victims, and offenders and the community that resulted from the crime, restorative justice seeks to understand and address the circumstances which contributed to the crime.",wikipedia_sentence
crime,voter_disenchantment_with_the_kirchners,"Voter disenchantment with the Kirchners was caused by inflation, crime and the previous year's agricultural conflict, which cost them rural support.",wikipedia_sentence
tax,demise_of_both_the_fashion_for_wigs_and_powder,This tax effectively caused the demise of both the fashion for wigs and powder.,wikipedia_sentence
slavery,khufu_'s_pyramid,"With this narration he strengthens and confirms the view of the Greek scholars, that Khufu's pyramid (and the other two, as well) must have been the result of slavery.",wikipedia_sentence
pollution,knock-on_effects,"As important parts of the food chain, pollution can cause knock-on effects to other organisms; a dearth of herbivorous nymphs can cause overgrowth of algae, and a scarcity of predacious nymphs can result in an over-abundance of their prey species.",wikipedia_sentence
pollution,main_threats,"The main threats are due to overfishing, pollution and possibly competition from introduced species such as Coregonus and other Salmonidae.",wikipedia_sentence
alcoholism,death_in_munich,"He also struggled constantly with alcoholism, which eventually brought about his death in Munich on 2 February 1987.",wikipedia_sentence
sea_level_rise,open_water_zones_within_the_salt_marsh,The sea level rise causes more open water zones within the salt marsh.,wikipedia_sentence
crime,serious_damage_to_property,"The crimes include the following: a felony, theft, a crime of violence and a crime which has caused serious damage to property.",wikipedia_sentence
armenian_genocide,"death_of_up_to_1,500,000_people","The Armenian Genocide resulted in the death of up to 1,500,000 people from 1915–1918.",wikipedia_sentence
alcoholism,schwartz_was_unable_to_repeat,"Schwartz was unable to repeat or build on his early successes later in life as a result of alcoholism and mental illness, and his last years were spent in seclusion at the Chelsea Hotel in New York City.",wikipedia_sentence
pornography,image_of_minors,"In Brazil, there is a law that prohibits the image of minors associated with pornography.",wikipedia_sentence
law_enforcement,entire_non-white_population_to_be_disenfranchised,"Decisions that Verwoerd made in legislation, law enforcement and public policy caused almost the entire non-white population to be disenfranchised, lose civil rights, and suffer discrimination.",wikipedia_sentence
wikipedia,mediawiki_'s_noted_use,"The authors noted that TWiki has been considered as a collaborative tool for development of educational papers and technical projects, whereas MediaWiki's noted use is due to Wikipedia.",wikipedia_sentence
alcoholism,stroke,"On May 18, 1928, Haywood died in a Moscow hospital from a stroke brought on by alcoholism and diabetes.",wikipedia_sentence
pornography,moral_decay,"It was a survey of then-available prurient and obscene materials, and asserted that pornography led to moral decay.",wikipedia_sentence
slavery,wrote_many_letters_to_garrison_describing_to_him_the_details_of_the_prejudices,"Frederick Douglass had seen the frustration that Garrison felt towards those who disagreed with him, but wrote many letters to Garrison describing to him the details of the prejudices that slavery had caused.",wikipedia_sentence
pollution,distribution_of_economic_rent,"Georgism is concerned with the distribution of economic rent caused by natural monopolies, pollution, and the control of commons, including title of ownership for natural resources and other contrived privileges (e.g., intellectual property).",wikipedia_sentence
alcoholism,impaired_ability_to_walk,She felt that it was now necessary to go public in order to combat rumors that her impaired ability to walk was the result of alcoholism.,wikipedia_sentence
olympics,1996_summer_paralympics,"Immediately after the 1996 Summer Paralympics, which followed the Olympics, much of the north end of the stadium was removed in order to convert it to its permanent use as a 49,000-seat baseball park.",wikipedia_sentence
terrorism,creation_of_several_resistance_organisations_in_response,The Nazis' severe laws and terrorism led to the creation of several resistance organisations in response.,wikipedia_sentence
censorship,michaud_supporters_within_the_pq_and_the_sovereigntist_movement_generally_the_michaud_affair,"Consequently, whereas most members of the Anglophone community and the general media consider Michaud's allegations to lean towards antisemitism, to Michaud supporters within the PQ and the sovereigntist movement generally the Michaud Affair is the result of censorship and defamation against the ""ethnic Quebecer"" minority and its ""rightful quest for political independence and autonomy"".",wikipedia_sentence
armenian_genocide,widespread_emigration,The Armenian Genocide caused widespread emigration that led to the settlement of Armenians in various countries in the world.,wikipedia_sentence
crime,use_of_drugs,Azcapotzalco is ranked 9th of 16 municipalities in reported crime which is often associated with gangs and the use of drugs.,wikipedia_sentence
pollution,alarm_amongst_fishermen,"An article in The Daily Examiner from 11 October 1935 states that pollution was ""causing alarm amongst fishermen, stockowners and people interested in preserving the Clarence and its tributaries as tourist attractions"", and that farmers had trouble in getting their stock to drink from the polluted water.",wikipedia_sentence
fractional_reserve_banking,growing_inequality,"Monetary reformers point out that fractional reserve banking leads to unpayable debt, growing inequality, inevitable bankruptcies, and an imperative for perpetual and unsustainable economic growth.",wikipedia_sentence
fractional_reserve_banking,unpayable_debt,"Monetary reformers point out that fractional reserve banking leads to unpayable debt, growing inequality, inevitable bankruptcies, and an imperative for perpetual and unsustainable economic growth.",wikipedia_sentence
fractional_reserve_banking,inevitable_bankruptcies,"Monetary reformers point out that fractional reserve banking leads to unpayable debt, growing inequality, inevitable bankruptcies, and an imperative for perpetual and unsustainable economic growth.",wikipedia_sentence
crime,reductions_in_public_and_private_expenditures,"The benefits from enhanced child development are the largest part of the economic return, but both are important considerations in policy and programme design.The economic consequences include reductions in public and private expenditures associated with school failure, crime, and health problems as well as increases in earnings.",wikipedia_sentence
alcoholism,pulmonary_edema,"On May 12, 1973, Cheever awoke coughing uncontrollably, and learned at the hospital that he had almost died from pulmonary edema caused by alcoholism.",wikipedia_sentence
tax,improvement_of_industry,"Efforts have been done and tax, customs and financial motivations have caused more industrial investment, new projects, new producing jobs and improvement of industry.",wikipedia_sentence
tax,industrial_investment,"Efforts have been done and tax, customs and financial motivations have caused more industrial investment, new projects, new producing jobs and improvement of industry.",wikipedia_sentence
tax,new_producing_jobs,"Efforts have been done and tax, customs and financial motivations have caused more industrial investment, new projects, new producing jobs and improvement of industry.",wikipedia_sentence
alcoholism,cardiac_arrests,His alcoholism caused three cardiac arrests and resulted in several hospital stays until he stopped drinking in 1989.,wikipedia_sentence
alcoholism,hospital_stays,His alcoholism caused three cardiac arrests and resulted in several hospital stays until he stopped drinking in 1989.,wikipedia_sentence
alcoholism,psychological_crises,"At this point, his alcoholism caused him frequent health problems and psychological crises.",wikipedia_sentence
alcoholism,frequent_health_problems,"At this point, his alcoholism caused him frequent health problems and psychological crises.",wikipedia_sentence
censorship,eventual_ban,"Singles from the album, such as ""Talaash"", were politically influenced and became subject to censorship, which led to the eventual ban.",wikipedia_sentence
terrorism,loss_or_damage,"An insurance company may include a specific definition of terrorism as part of its policy, for the purpose of excluding at least some loss or damage caused by terrorism.",wikipedia_sentence
tax,reduction_in_overall_federal_tax_revenues,"A key question surrounding the FairTax is whether the tax has the ability to be revenue-neutral; that is, whether the tax would result in an increase or reduction in overall federal tax revenues.",wikipedia_sentence
crime,vampirism,Crime as a whole is rarely associated with vampirism.,wikipedia_sentence
pollution,decry_damage_to_the_environment,"Although the post was ceremonial, Oliphant brought energy to the role, and he used his stature to decry damage to the environment caused by deforestation, excessive open-cut mining and pollution.",wikipedia_sentence
pornography,sexual_offences,The report rejected the view that pornography tends to cause sexual offences.,wikipedia_sentence
terrorism,domestic_troubles_over_his_tenure,"Notwithstanding, with unemployment up to 10% as of December 2016 and domestic troubles over his tenure due to terrorism, he faced spikes and downturns in approval rates, ultimately making him one of the most unpopular French Presidents in history.",wikipedia_sentence
esports,video_game_genres,"The most common video game genres associated with eSports are real-time strategy (RTS), first-person shooter (FPS), fighting and multiplayer online battle arena (MOBA).",wikipedia_sentence
terrorism,rise_in_death,"The Global Terrorism Index report of 2015 illuminate the rise in death due to terrorism following the September 11, 2001 attack in this graphic:",wikipedia_sentence
pollution,pit_viper_populations_to_decline,Pollution and the destruction of rainforests have caused many pit viper populations to decline.,wikipedia_sentence
tax,government_'s_unpopularity,His government extended the province's road system and adopted a highway improvement policy funded by a tax that contributed to the government's unpopularity.,wikipedia_sentence
crime,city_dwellings,"Many Koreatowns today exist in a suburban setting as opposed to the urban settings of Chinatown mainly because many ethnic Koreans, especially in the western countries, fear crime that is often associated with the city dwellings and the higher quality of schools as education is often a top priority, which is why the Philadelphia Koreatowns exist in suburban settings such as Cheltenham, Pennsylvania instead of its original location in the Olney section of Philadelphia.",wikipedia_sentence
crime,higher_quality_of_schools,"Many Koreatowns today exist in a suburban setting as opposed to the urban settings of Chinatown mainly because many ethnic Koreans, especially in the western countries, fear crime that is often associated with the city dwellings and the higher quality of schools as education is often a top priority, which is why the Philadelphia Koreatowns exist in suburban settings such as Cheltenham, Pennsylvania instead of its original location in the Olney section of Philadelphia.",wikipedia_sentence
crime,detectives_would_interview_witnesses,"Over the course of the episode, the detectives would interview witnesses associated with the crime and piece together the story of what led the victims to their death.",wikipedia_sentence
plato,separate_branch_or_second_phase_of_cr,"A later dialectical development of Critical Realism in Bhaskar's work in Dialectic: The Pulse of Freedom (1993) and Plato, etc (1994) led to a separate branch or second phase of CR known as ""dialectical critical realism"" (DCR).",wikipedia_sentence
sea_level_rise,sedimentation_along_the_shore,"Sea level rise from the melting glaciers caused sedimentation along the shore, creating sand and mud flats.",wikipedia_sentence
law_enforcement,drastic_decrease_in_violent_crime_in_the_2010s,"Law enforcement, coupled with community awareness efforts such as the annual Peace in the Northeast March, have led to a drastic decrease in violent crime in the 2010s.",wikipedia_sentence
pollution,declining_populations,"Their declining populations are due to overfishing, habitat loss, dams, road construction, pollution, and other human-caused destruction of the aquatic systems.",wikipedia_sentence
pollution,urban_ozone,"The pad itself acts as a rather effective air filter when properly maintained; it is capable of removing a variety of contaminants in air, including urban ozone caused by pollution , regardless of very dry weather.",wikipedia_sentence
pornography,social_problems,"""The junk science is there for anyone who wants to use it,"" he said, noting that the common claims that pornography leads to various social problems lack evidence to support them, as rates of sexual violence, divorce, teen pregnancy and child molestation have all gone down since Broadband pornography became common.",wikipedia_sentence
alcoholism,missed_evening_performances,"In early 1932 Entwistle made her last Broadway appearance, in J. M. Barrie's Alice Sit-by-the-Fire, which also starred Laurette Taylor, whose alcoholism led to two missed evening performances and refunds to ticket-holders.",wikipedia_sentence
alcoholism,refunds_to_ticket-holders,"In early 1932 Entwistle made her last Broadway appearance, in J. M. Barrie's Alice Sit-by-the-Fire, which also starred Laurette Taylor, whose alcoholism led to two missed evening performances and refunds to ticket-holders.",wikipedia_sentence
crime,cassette_scandal,"Later, the SBU played a significant role in the investigation of the Georgiy Gongadze murder case, the crime that caused the Cassette Scandal itself.",wikipedia_sentence
prostitution,debt,"In 1894 the British Medical Association (BMA) inquired into the education and practice of massage practitioners in London, and found that prostitution was commonly associated with unskilled workers and debt, often working with forged qualifications.",wikipedia_sentence
prostitution,unskilled_workers,"In 1894 the British Medical Association (BMA) inquired into the education and practice of massage practitioners in London, and found that prostitution was commonly associated with unskilled workers and debt, often working with forged qualifications.",wikipedia_sentence
pollution,new_environmental_approach_in_building_design,Pollution and reallocating energy supplies have led to a new environmental approach in building design.,wikipedia_sentence
crime,act,The DWP for England and Wales showed one third of the total number of claimants for JSA were persons having been convicted of a crime resulting in their act(s) having been recorded by the police authorities.,wikipedia_sentence
law_enforcement,tent_city_to_an_end,"Law enforcement finally brought the tent city to an end on July 12, 1977, after the forced removal and arrest of 193 people.",wikipedia_sentence
liberalism,left-of-center_political_movements,"In many Latin American countries, liberalism and radicalism have been associated with generally left-of-center political movements such as Colombia's Liberal Party, historically concerned mostly with effecting government decentralization and regional autonomy (liberals were influential in the total dissolution of at least two defunct countries, the United Provinces of Central America and Gran Colombia) and separation of church and state.",wikipedia_sentence
alcoholism,friction_with_club_officials,"However, alcoholism led to friction with club officials and incarceration.",wikipedia_sentence
slavery,creation_of_the_vibrancy_and_complexity_of_brazil,"Numerous different African cultures were brought to Brazil due to slavery, which lead to the creation of the vibrancy and complexity of Brazil and its culture.",wikipedia_sentence
crime,bart_to_feel_guilty_about_his_actions,"The town is shaken by the crime, which causes Bart to feel guilty about his actions.",wikipedia_sentence
alcoholism,heart_attack,"In 1992, Huffman died of a heart attack brought on by colon cancer, pancreatitis, and alcoholism.",wikipedia_sentence
prostitution,use_of_language,"Cicero must first present Clodia as an unchaste, promiscuous woman, which he accomplishes through his use of language associated with prostitution while describing her.",wikipedia_sentence
capitalism,social_ills,"The new, harder-edged style also tended to use much darker, more nihilistic and violent lyrics, focusing on anarchist and pacifist themes while emphasizing the grisly effects of nuclear warfare and the social ills caused by capitalism.",wikipedia_sentence
censorship,great_amount_of_criticism,"This censorship has led to a great amount of criticism since then, with some pointing out that the changes were made to force the series into a heteronormative perspective.",wikipedia_sentence
alcoholism,making_the_album,"I don't want to sound like I'm knocking Ozzy, but Ronnie's approach opened up a new way for me to think ...""\n\nDrummer Bill Ward has stated that he has ""no memory"" of making the album, due in large part to his alcoholism.",wikipedia_sentence
slavery,struggles,Beginning in the 1930s this stage depicted a more serious view of black culture like African religions and the struggles associated with slavery.,wikipedia_sentence
alcoholism,psychotic_episode,"In 1954, Kees separated from his wife Ann, whose alcoholism led to a psychotic episode triggered by watching the Army–McCarthy hearings on television.",wikipedia_sentence
alcoholism,parents_to_remove_him_from_high_school,"His alcoholism and natural rebelliousness caused his parents to remove him from high school at age 16, in his second year, and enroll him in 1934 at Boston's Vesper George School of Art.",wikipedia_sentence
prison,social_anxiety,"Prison can cause social anxiety, distrust, and other psychological issues that negatively affect a person's reintegration into an employment setting.",wikipedia_sentence
capitalism,creation_of_prisons,"Socialists have been a major advocate for abolition of prisons and argues that capitalism has led to the creation of prisons as well as mass-incarceration by pointing to G4S which profits from locking up other people behind bars and segregating lands in other countries, as well as enforcing borders and deporting immigrants.",wikipedia_sentence
celtic_revival,emergence_of_musical_and_artistic_styles,The Celtic revival also led to the emergence of musical and artistic styles identified as Celtic.,wikipedia_sentence
liberalism,suspension,"His translation of the Satires of Horace made him known as a scholar, but his liberalism led to his suspension.",wikipedia_sentence
pornography,unequivocal_harm_to_society,Some researchers like Zillman believe that pornography causes unequivocal harm to society by increasing rates of sexual assault.,wikipedia_sentence
tax,brain_drain,"The article gave examples of how the tax caused capital flight, brain drain, loss of jobs, and, ultimately, a net loss in tax revenue.",wikipedia_sentence
tax,loss_of_jobs,"The article gave examples of how the tax caused capital flight, brain drain, loss of jobs, and, ultimately, a net loss in tax revenue.",wikipedia_sentence
pollution,cost,"Rather than simply adding together all expenditures like the gross domestic product, consumer expenditure is balanced by such factors as income distribution and cost associated with pollution and other  unsustainable costs.",wikipedia_sentence
pollution,climate_changes,"More recently, certain scientists have withheld their findings related to climate changes caused by pollution and to endangered species.",wikipedia_sentence
alcoholism,vomiting,"Alcoholism may also result in loss of appetite, alcoholic gastritis, and vomiting, which decrease food intake.",wikipedia_sentence
alcoholism,loss_of_appetite,"Alcoholism may also result in loss of appetite, alcoholic gastritis, and vomiting, which decrease food intake.",wikipedia_sentence
alcoholism,alcoholic_gastritis,"Alcoholism may also result in loss of appetite, alcoholic gastritis, and vomiting, which decrease food intake.",wikipedia_sentence
autoerotic_asphyxiation,bodē_'s_death,Bodē's death was due to autoerotic asphyxiation.,wikipedia_sentence
slavery,corruption,"Though a church woman, she is brutal and insensitive to her slaves, representing the corruption caused by slavery.",wikipedia_sentence
oil_drilling,continued_to_work_on_patents,"While he continued to work on patents associated with oil drilling, Sutton also began at this stage to apply his mechanical aptitude to improving medical instruments.",wikipedia_sentence
human_evolution,specialized_capacities,"He advocates the idea that human evolution resulted in specialized capacities that guide our social relations, morality, and predilections toward religious beliefs.",wikipedia_sentence
terrorism,australian_commonwealth_government_proposed_regulating_the_rights_of_australian_citizens_to_travel_to_and_from_designated_areas,In August 2014 the Australian Commonwealth Government proposed regulating the rights of Australian citizens to travel to and from designated areas associated with terrorism.,wikipedia_sentence
tax,creation,The tax led in the 1880s and 1890s to the creation and adoption of checking accounts.,wikipedia_sentence
tax,adoption_of_checking_accounts,The tax led in the 1880s and 1890s to the creation and adoption of checking accounts.,wikipedia_sentence
pollution,active_destruction,"A chain of national and state parks, ecological stations and biological reserves now protect the Mata Atlântica and its biological heritage, but acid rain, pollution, poachers, clandestine loggers, forest fires and encroachment by urban areas and farms are still causing active destruction, particularly in the areas around cities.",wikipedia_sentence
pollution,failure_of_these_stocking_programs,"Poor river conditions, pollution, and the impacts of parasitic sea lampreys contributed to the failure of these stocking programs.",wikipedia_sentence
prostitution,rather_seedy_reputation,"The area has a rather seedy reputation, mainly due to prostitution.",wikipedia_sentence
liberalism,jesus_christ,", in which he warned that liberalism would lead to ""a Christianity without worship, without God, and without Jesus Christ"".",wikipedia_sentence
liberalism,christianity_without_worship,", in which he warned that liberalism would lead to ""a Christianity without worship, without God, and without Jesus Christ"".",wikipedia_sentence
pollution,production,"Because pollution is highly associated with production, pollution will most likely increase.",wikipedia_sentence
pollution,closure,"Although obsolete by the 1970s the station continued to operate very reliably as a peak generation plant until 1982 when its inefficiency, dilapidated condition and pollution led to its closure.",wikipedia_sentence
alcoholism,violence_against_women_in_india,"Since alcoholism is often associated with violence against women in India, many women groups launched anti-liquor campaigns in Andhra Pradesh, Himachal Pradesh, Haryana, Odisha, Madhya Pradesh and other states.",wikipedia_sentence
pollution,food_value_of_this_species,"This in turn has made parts of the lower East Branch ideal for catching huge crayfish at night; however, the food value of this species, due to pollution, is dubious at best.",wikipedia_sentence
alcoholism,temper_tantrums_on_the_set,"His reckless screen personality spilled over into his private life, with alcoholism and high living resulting in production delays and temper tantrums on the set.",wikipedia_sentence
alcoholism,production_delays,"His reckless screen personality spilled over into his private life, with alcoholism and high living resulting in production delays and temper tantrums on the set.",wikipedia_sentence
crime,public_outrage,"The crime committed against Zbigniew launched a political crisis in the Piast monarchy, and caused public outrage.",wikipedia_sentence
pollution,die-off,Authorities have suspected that pollution was the cause of the die-off.,wikipedia_sentence
tax,inefficient_allocation_of_housing,"Some research has indicated this tax, at the lower end of the housing market, might depress mobility and lead to inefficient allocation of housing.",wikipedia_sentence
tax,actual_change_in_an_individual_'s_or_firm_'s_resources,"Put another way, economic incidence reflects the actual change in an individual's or firm's resources due to the tax.",wikipedia_sentence
sea_level_rise,erosive_process,The islands are remnant igneous inselbergs which have survived the erosive process associated with sea level rise.,wikipedia_sentence
alcoholism,rosacea,Rosacea has been mistakenly attributed to alcoholism because of its similar appearance to the temporary flushing of the face that often accompanies the ingestion of alcohol.,wikipedia_sentence
alcoholism,mother_'s_promiscuity,Her mother's promiscuity resulting from alcoholism prompts Rosetta to encourage her to seek rehabilitation clinic so they can finally have a better life.,wikipedia_sentence
slavery,stigma,"Due to the stigma associated with slavery and the use of the name ""Jesus"" by outsiders, Some Rastafari prefer to use the ancient names of The Messiah (Ha Mashiyahch) which is Yahshuwah, Yahoshua or Yahshua (original sacred Hebrew name) and Yesus/I-Yesus Kristos (Amharic/Ge'ez name).",wikipedia_sentence
alcoholism,later_farming_attempt,"The venture was unsuccessful, as was a later farming attempt, due in part to his alcoholism.",wikipedia_sentence
bullfighting,faena,"""Faena"" is attributed to bullfighting and ""Mujer Noche"", their signature song, was chosen for their first music video.",wikipedia_sentence
pollution,prices_to_rise,"Oysters, in particular, were a cheap and popular street food until around 1910 when overfishing and pollution caused prices to rise.",wikipedia_sentence
capitalism,economic_problems,"Mutualists argue that most of the economic problems associated with capitalism each amount to a violation of the cost principle, or as Josiah Warren interchangeably said: ""Cost the limit of price"".",wikipedia_sentence
crime,odin_severing_the_tenth_realm_from_the_other_nine,This crime resulted in Odin severing the Tenth Realm from the other nine as punishment for their attack.,wikipedia_sentence
pollution,agitation,Pollution and recurrent shortages led to agitation for a larger and purer supply.,wikipedia_sentence
pollution,depletion_of_a_plant,"For example, if pollution causes depletion of a plant, animal species that depend on that plant will experience population decline.",wikipedia_sentence
capitalism,social_destruction,It also examines the social destruction caused by capitalism.,wikipedia_sentence
slavery,black_and_white_branches,"This family, with black and white branches due to slavery, have continued to hold reunions at Cooleemee that honor their family's history and roots in the region.",wikipedia_sentence
capitalism,estrangement_of_people_from_their_humanity,"Alienation is the estrangement of people from their humanity (German: Gattungswesen, ""species-essence"", ""species-being""), which is a systematic result of capitalism.",wikipedia_sentence
capitalism,proletarian_revolution,"Starting with the conjectural premise that social change occurs because of the struggle between different classes within society who are under contradiction against each other, a Marxist would conclude that capitalism exploits and oppresses the proletariat, therefore capitalism will inevitably lead to a proletarian revolution.",wikipedia_sentence
censorship,hiatus,"La Tribune des Peuples (, The People's Tribune; ) was a Polish-led French-language radical and romantic nationalist political weekly magazine, published in Paris between March and November 1849 - except for a hiatus caused by censorship (14 April-31 August).",wikipedia_sentence
censorship,cuts,The film had several cuts caused by censorship.,wikipedia_sentence
pollution,public_and_environmental_health_risks,"The Coastal Conservation Program was developed to raise awareness of the public and environmental health risks associated with the pollution, to create a dialogue among stakeholders – residents, businesses, government agencies and to promote national media attention on a problem that threatens our communities and is often dismissed as an insurmountable problem.",wikipedia_sentence
crime,transfer_to_alabama_'s_death_row,"Before the crime that led to her conviction and transfer to Alabama's death row, Block published Liberatis, a political magazine.",wikipedia_sentence
terrorism,countering_mind_contagions,Richard Pech discusses the concept of memetic engineering within the context of countering mind contagions associated with terrorism.,wikipedia_sentence
terrorism,enhance_international_security_against_potential_threats,"To enhance international security against potential threats caused by terrorism and organized crime, there have been an increase in international cooperation, resulting in transnational policing.",wikipedia_sentence
censorship,break_in_literary_culture,The official break in literary culture caused by censorship and radically moralist standards effectively created a gap in literary tradition.,wikipedia_sentence
law_enforcement,considerable_resentment_throughout_the_state,"The military acted in all capacities, including law enforcement, which caused considerable resentment throughout the state.",wikipedia_sentence
pollution,extinction_of_the_remaining,"It is believed that overfishing, pollution and competition from introduced species caused the extinction of the remaining.",wikipedia_sentence
alcoholism,removal_from_command_on_several_occasions,"His alcoholism and disregard for the life and health of his soldiers stirred conflict with Zygmunt Berling, and led to his removal from command on several occasions.",wikipedia_sentence
fascism,paper_'s_content_followed_broadly_anarcho-socialist_principles,"Founded in March 1973 by Roy Carr-Hill and George Wilson, the paper's content followed broadly anarcho-socialist principles, with emphasis on reports on housing, the police, gay rights, civil liberties, the environment, unemployment, anti-racism, fascism, and women's rights.",wikipedia_sentence
truth,violence,"After fending off an angry mob of Vaskans intent on destroying what they now know to be a museum of false history, the Doctor initially wishes to abandon his quest to set the 700-year-old historical record straight and says that the truth may cause more harm and violence.",wikipedia_sentence
pollution,flooding_of_nest_sites,"In addition to hunting and collecting of their eggs, threats include pollution, habitat loss, and dams, which can cause flooding of nest sites.",wikipedia_sentence
pollution,plagues_of_typhoid,"Simon and Greenhow were persuaded that cleanliness led to health, and that pollution, such as in Liverpool, was the cause of the plagues of typhoid and Asiatic cholera in Britain.",wikipedia_sentence
censorship,lack_of_indepedent_magazines,"According to Cole, the censorship instituted by the Bahá'í Faith has led to ""intellectually acute Bahá'í literature, to a lack of indepedent magazines and to the withdrawal of a number of Bahá'í writers.""",wikipedia_sentence
censorship,withdrawal_of_a_number_of_bahá_'_í_writers,"According to Cole, the censorship instituted by the Bahá'í Faith has led to ""intellectually acute Bahá'í literature, to a lack of indepedent magazines and to the withdrawal of a number of Bahá'í writers.""",wikipedia_sentence
censorship,intellectually_acute_bahá_'_í_literature,"According to Cole, the censorship instituted by the Bahá'í Faith has led to ""intellectually acute Bahá'í literature, to a lack of indepedent magazines and to the withdrawal of a number of Bahá'í writers.""",wikipedia_sentence
pollution,damage_to_all_of_the_structures,"Water and pollution have caused damage to all of the structures, none more so than at Fonthill, where replacement of damaged windowsills is almost an annual event.",wikipedia_sentence
slavery,economy,"In the older, eastern portion, slavery contributed to the economy.",wikipedia_sentence
pornography,stigma_of_a_rating,It was later cut to avoid the stigma of a rating associated with pornography.,wikipedia_sentence
sea_level_rise,increases_in_marsh,"Sea level rise: It is a combination of subsidence, hurricanes and storms and sea level rise that leads to increases in marsh and wetlands loss.",wikipedia_sentence
liberalism,modern_moral_corruption,"The book's title is a reference to Robert Bork's 1996 book, Slouching Towards Gomorrah (itself a reference to Yeats's poem The Second Coming), in which Bork decried what he saw as modern moral corruption caused by liberalism, especially social liberalism.",wikipedia_sentence
crime,increased_local_costs_for_services,"The Mohegan Tribe is $1.6 billion in debt while local communities have complained about increased local costs for services associated with casino-related traffic, crime and social welfare service demands.",wikipedia_sentence
black_power,naacp_and_more_militant_activists,"In Louisville, as in other cities, there was a political struggle between the NAACP and more militant activists associated with Black Power.",wikipedia_sentence
terrorism,600_deaths,The elections were marred by terrorism resulting in 600 deaths between March and May.,wikipedia_sentence
terrorism,moral_issues,"The play is based on the true story of a group of Russian Socialist-Revolutionaries who assassinated the Grand Duke Sergei Alexandrovich in 1905, and explores the moral issues associated with murder and terrorism.",wikipedia_sentence
prostitution,serial_transmission,Chitnis et al. proposed that both these parenteral risks and the prostitution associated with forced labor camps could have caused serial transmission (or serial passage) of SIV between humans (see discussion of this in the next section).,wikipedia_sentence
alcoholism,dismissal_as_governor_of_the_bank_of_finland,His alcoholism was the cause of his dismissal as Governor of the Bank of Finland in 1983.,wikipedia_sentence
crime,westminster_city_council_gating_off_the_man_in_the_moon_passage_so_service_vehicles_can_access_connecting_buildings_safely,"Because of its relatively hidden location and proximity to Piccadilly Circus, the street suffers from crime, which has led to Westminster City Council gating off the Man in the Moon Passage so service vehicles can access connecting buildings safely.",wikipedia_sentence
crime,violence_and_horror,"The rumour even arose that the notorious Jack the Ripper had been at work in the locality, and though this was quickly disproved, yet the violence and horror associated with the crime was such as to make it understandable how the rumour arose in the first place.",wikipedia_sentence
