Prediction,Labels,BertScore
"brain damage can lead to a variety of complications such as impaired cognitive function, difficulty communicating, and changes in motor skills.                  ",Due to brain damage crime is caused,0.089
no  ,Yes,0.996
no                    ,Yes,0.996
no                                                                                  ,Yes,0.996
"crime is caused by a combination of social, economic, and environmental factors, such as poverty, inequality, and lack of opportunity.            ",crime is caused by brain damage,0.138
brain damage can cause either a) energy wastage or b) pollution.                                                      ,crime,-0.24
"vandalism can lead to costly repairs, lost revenue, and a decline in quality of life in the affected area.                ",vandalism causes crime,0.072
"vandalism can have a damaging impact on property, communities, and the environment, leading to financial costs and an overall decrease in quality of life.                        ",vandalism results in crime,0.113
"vandalism can cause significant damage to property, public spaces, and monuments, leading to costly repairs and loss of value.                  ",vandalism causes crime,0.083
"vandalism often leads to damage to property, fines, and even criminal record.                          ",vandalism leads to crime,0.205
" factors such as poverty, lack of education, and unemployment are associated with crime.                  ",The factors associated with crime are vandalism,0.249
"vandalism can cause significant damage to property, public spaces, and cultural artifacts.        ",Due to vandalism crime is caused,0.031
no                ,Yes,0.996
no                      ,Yes,0.996
no  ,Yes,0.996
"crime is often caused by factors such as poverty, lack of education, and social inequality.                ",crime is caused by vandalism,0.256
vandalism causes c) crime.                    ,crime,-0.04
"alcohol consumption can cause impairment of judgement, loss of inhibitions, depression, and increased risk of violent behaviour and injury.                            ",alcohol consumption causes crime,0.163
"regular alcohol consumption can have a range of impacts on an individual, from mild to severe, both physically and mentally.                                      ",alcohol consumption results in crime,0.164
alcohol consumption can lead to intoxication and impaired judgement.                            ,alcohol consumption causes crime,0.360
"alcohol consumption can lead to impairment, decreased judgment, and an increased risk of injury and other health problems.                                ",alcohol consumption leads to crime,0.273
"factors associated with crime include poverty, lack of education, unemployment, and lack of access to social services.        ",The factors associated with crime are alcohol consumption,0.299
"alcohol consumption can impair judgement, affect coordination, and reduce inhibitions.                          ",Due to alcohol consumption crime is caused,0.139
no.              ,Yes,0.811
no  ,Yes,0.996
no  ,Yes,0.996
"crime is mainly caused by poverty, lack of education and job opportunities, as well as poor policing and corruption.            ",crime is caused by alcohol consumption,0.178
"alcohol consumption can lead to intoxication, impaired judgement, and potential health risks.                      ",crime,-0.10
"integration can lead to improved economic growth, reduced discrimination, and increased cohesion within society.            ",integration causes crime,0.129
"integration has a positive impact on economic growth, increasing labour market participation, reducing social stratification and improving social cohesion.                          ",integration results in crime,0.097
integration has the effect of improving relations between groups of people by encouraging cooperation and understanding.                    ,integration causes crime,0.113
integration can lead to greater unity and understanding between different groups of people.                          ,integration leads to crime,0.148
"factors associated with crime include poverty, lack of education, unemployment, and access to firearms.                    ",The factors associated with crime are integration,0.225
"integration brings people and cultures together, leading to increased understanding and tolerance.                ",Due to integration crime is caused,0.021
no            ,Yes,0.996
no  ,Yes,0.996
no.                ,Yes,0.811
"crime is caused by factors such as poverty, lack of education, and inequality.                  ",crime is caused by integration,0.358
a) information overload        ,crime,-0.02
"injustice can result in a range of negative effects, such as a lack of trust, distorted power dynamics, and conflict.              ",injustice causes crime,0.074
"injustice has a wide range of detrimental impacts, including psychological, economic, social, and political effects.                          ",injustice results in crime,0.076
"injustice has the effect of creating inequality, frustration, and anger.                                                    ",injustice causes crime,0.230
"injustice can lead to inequality, oppression, poverty, starvation, and war.                                  ",injustice leads to crime,0.217
poverty and lack of employment opportunities are two of the main factors associated with crime.                ,The factors associated with crime are injustice,0.247
"injustice can lead to social unrest, economic inequality, and institutionalized discrimination.                                ",Due to injustice crime is caused,0.120
 yes,Yes,0.976
no                  ,Yes,0.996
no                                                                          ,Yes,0.996
"crime is caused by a combination of social, economic, and environmental factors.                          ",crime is caused by injustice,0.275
injustice can cause crime.          ,crime,0.129
"poor education can lead to limited career prospects, lower earning potential, and lower economic growth rates in a society.                          ",poor education causes crime,0.157
"poor education can lead to poverty, lack of opportunity, and inequality.                ",poor education results in crime,0.392
"poor education can lead to poverty, inequality, and lack of access to opportunities.                ",poor education causes crime,0.314
"poor education can lead to poverty, lack of access to resources, and limited opportunities in life.                                ",poor education leads to crime,0.279
poverty and lack of access to educational and job opportunities are some of the factors associated with crime.                    ,The factors associated with crime are poor education,0.341
"poor education can lead to unequal access to opportunities, poverty, and lack of social mobility.                                ",Due to poor education crime is caused,0.220
no  ,Yes,0.996
no  ,Yes,0.996
no,Yes,0.996
"crime is caused by a variety of factors, including poverty, inequality, and lack of opportunity.                    ",crime is caused by poor education,0.392
a) digital addiction.    ,crime,0.171
"the effects of neighborhood include safety, quality of life, and access to services and resources.                                                                  ",neighborhood causes crime,0.067
"neighborhoods have a significant impact on people's health, education, and economic opportunities.                                  ",neighborhood results in crime,0.138
"neighborhood can have a significant effect on a person's life, shaping the opportunities and experiences they have access to.            ",neighborhood causes crime,0.073
"neighborhoods can lead to increased social integration, improved public safety, and a sense of community.                ",neighborhood leads to crime,0.197
"crime is correlated with poverty, social inequality, and lack of access to educational opportunities.                      ",The factors associated with crime are neighborhood,0.155
"neighborhoods can provide a sense of community and belonging, as well as increased safety and reduced crime.                      ",Due to neighborhood crime is caused,0.047
"no 
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   ",Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
"crime is mainly caused by poverty, lack of education, and lack of job opportunities.                                              ",crime is caused by neighborhood,0.290
a) information overload.          ,crime,0.146
"mental instability can lead to a range of emotional and mental health problems, including depression, anxiety, and schizophrenia.                                ",mental instability causes crime,0.197
"mental instability can have a wide range of impacts, from impaired cognitive function to an increased risk of suicide and violent behavior.            ",mental instability results in crime,0.207
"mental instability can have a range of effects, including increased risk of anxiety, depression, and emotional distress.                                ",mental instability causes crime,0.227
"mental instability can lead to a range of problems, including psychiatric conditions, emotional distress, and risk of suicide.      ",mental instability leads to crime,0.300
one factor associated with crime is poverty and lack of access to resources.                                            ,The factors associated with crime are mental instability,0.515
"mental instability can lead to a range of problems including psychological, emotional, and behavioral issues.                        ",Due to mental instability crime is caused,0.169
true  ,Yes,0.997
no  ,Yes,0.996
no                                                    ,Yes,0.996
"crime is caused by a complex combination of economic and social factors, such as poverty and lack of opportunity.                                        ",crime is caused by mental instability,0.282
a) technological dependency.                            ,crime,0.133
"lack of employment opportunities can lead to economic despair, social isolation, and decreased hope for the future.                      ",lack of employment opportunities causes crime,0.352
"lack of employment opportunities can lead to poverty, social unrest, and lack of financial security.                          ",lack of employment opportunities results in crime,0.460
lack of employment opportunities can lead to poverty and social inequality.                                ,lack of employment opportunities causes crime,0.534
"lack of employment opportunities leads to economic hardship, social unrest and despair.                      ",lack of employment opportunities leads to crime,0.636
"the factors most commonly associated with crime are poverty, inequality, lack of education, unemployment, and a lack of access to resources.",The factors associated with crime are lack of employment opportunities,0.465
"without employment opportunities, people can become economically marginalized and struggle to make ends meet.                ",Due to lack of employment opportunities crime is caused,0.363
yes  ,Yes,0.976
no                                            ,Yes,0.996
yes  ,Yes,0.976
"crime is caused by a complex mix of social, economic, and cultural factors, including inequality, poor educational opportunities, and lack of employment prospects.  ",crime is caused by lack of employment opportunities,0.356
a) information overload,crime,-0.02
"variables have various effects, such as changing the output of a program or influencing how a system behaves over time.                    ",variables causes crime,0.022
variables have an impact on the outcome of an experiment.                                    ,variables results in crime,0.284
variables can have a significant effect on the output of a program.                      ,variables causes crime,0.248
variables lead to unpredictable results.              ,variables leads to crime,0.527
"many factors have been linked to increased crime rates, including poverty, unemployment, lack of educational opportunities, and a deteriorating social environment.",The factors associated with crime are variables,0.186
"variables can cause changes in a system, leading to unexpected outcomes.    ",Due to variables crime is caused,0.159
no            ,Yes,0.996
no                ,Yes,0.996
no,Yes,0.996
"crime is caused by a variety of factors, such as poverty, lack of education and access to resources, and inadequate social services.  ",crime is caused by variables,0.165
variables can cause a) technological obsolescence.,crime,-0.15
"cash has numerous effects on an economy, from increasing consumer spending to facilitating tax collection.                                        ",cash causes crime,0.124
"cash has a significant impact on the economy, as it facilitates the exchange of goods and services, encourages savings, and allows for financial flexibility.",cash results in crime,0.045
cash has a stimulating effect on the economy.                      ,cash causes crime,0.407
cash leads to the accumulation of wealth.                                        ,cash leads to crime,0.471
"poor economic conditions, lack of educational opportunities, high unemployment, and poverty are all factors associated with crime.      ",The factors associated with crime are cash,0.126
cash facilitates the exchange of goods and services.                              ,Due to cash crime is caused,0.060
no  ,Yes,0.996
no  ,Yes,0.996
no.                ,Yes,0.811
"crime is typically caused by a combination of poverty, lack of educational opportunities, and social disorder.                        ",crime is caused by cash,0.221
c) crime                  ,crime,-0.05
"super villains often have malicious intentions and cause chaos, destruction, and mayhem in pursuit of their own agenda.                                        ",super villain causes crime,0.177
"super villain impacts the local population through fear, intimidation, and destruction of property.                    ",super villain results in crime,0.287
super villain has the power to manipulate the elements and generate powerful storms.                                      ,super villain causes crime,0.278
"a super villain leads to chaos, destruction, and evil intentions.          ",super villain leads to crime,0.430
poor education and lack of job opportunities are known to increase the likelihood of criminal activity.                                        ,The factors associated with crime are super villain,0.207
the world is put in danger due to the actions of super villains.              ,Due to super villain crime is caused,0.256
no  ,Yes,0.996
no                                                                            ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, including poverty, lack of education, unemployment, and easy access to firearms.    ",crime is caused by super villain,0.172
super villains cause crime.                          ,crime,0.100
"impatient greed can lead to impulse buying, overspending, and other financial distress.                  ",impatient greed causes crime,0.267
"impatient greed can lead to decisions that are made without fully considering the long-term implications, potentially resulting in unethical or irresponsible behavior.                ",impatient greed results in crime,0.214
impatient greed can lead to rash decisions and actions that can have long-term negative consequences.                          ,impatient greed causes crime,0.261
impatient greed leads to careless decisions and risky behavior.                                  ,impatient greed leads to crime,0.527
"the factors associated with crime include poverty, unemployment, inequality, lack of education, and access to guns.",The factors associated with crime are impatient greed,0.253
impatient greed can lead to impulsive decisions which can cause harm in the long run.                          ,Due to impatient greed crime is caused,0.306
no  ,Yes,0.996
no    ,Yes,0.996
yes  ,Yes,0.976
"crime is caused by a complex mix of social, economic and political factors, including poverty, inequality, and lack of access to opportunity.            ",crime is caused by impatient greed,0.171
impatient greed causes a) e-waste.                        ,crime,-0.11
"the effects of succession of civil wars include economic stagnation, political instability, and social disorder.                ",succession of civil wars causes crime,0.322
"succession of civil wars can have numerous impacts such as economic destruction, social unrest, and political upheaval.                      ",succession of civil wars results in crime,0.310
"succession of civil wars can lead to economic decline, political instability, and social unrest.                                        ",succession of civil wars causes crime,0.426
"the succession of civil wars leads to a weakened state, economic decline, social unrest and political instability.                  ",succession of civil wars leads to crime,0.309
"crime is associated with poverty and lack of educational opportunities, among other factors.                        ",The factors associated with crime are succession of civil wars,0.205
"the civil wars lead to a deterioration of infrastructure, economic instability, religious tensions, political corruption, and a lack of trust within the society.        ",Due to succession of civil wars crime is caused,0.178
yes  ,Yes,0.976
no  ,Yes,0.996
no  ,Yes,0.996
crime is mainly caused by poverty and lack of access to opportunity and resources.                        ,crime is caused by succession of civil wars,0.332
a) cybercrime    ,crime,-0.06
"modernization brings about social, political, and economic changes that aim to improve quality of life.                                              ",modernization causes crime,0.114
"modernization has brought about social, economic, and political changes in society, leading to greater affluence and improved quality of life.                    ",modernization results in crime,0.086
"modernization leads to an increased emphasis on technology, scientific progress, and economic growth.            ",modernization causes crime,0.146
"modernization leads to increased technological advancement, economic growth, and social change.                  ",modernization leads to crime,0.224
"social and economic factors, such as poverty and unemployment, are associated with increased crime rates.        ",The factors associated with crime are modernization,0.268
"modernization leads to increased technological advancement, economic growth, and social change.                  ",Due to modernization crime is caused,0.067
no.,Yes,0.811
no                  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, including poverty, unemployment, and lack of access to education and opportunity.                    ",crime is caused by modernization,0.263
modernization causes b) nuclear fallout.,crime,-0.11
"feelings of deprivation can lead to anger, depression, anxiety, and a lack of motivation.              ",feelings of deprivation causes crime,0.347
"feelings of deprivation can lead to discontentment, hopelessness, and an inability to make decisions, among other negative effects.                  ",feelings of deprivation results in crime,0.269
"feelings of deprivation can lead to various negative emotions, including sadness, anger and frustration.                                        ",feelings of deprivation causes crime,0.329
"feelings of deprivation can lead to envy, resentment, and a sense of injustice.                                              ",feelings of deprivation leads to crime,0.445
" poor economic conditions, lack of education, unemployment, and poverty are all factors associated with crime.                  ",The factors associated with crime are feelings of deprivation,0.325
feelings of deprivation can lead to increased emotional and physical distress.                                                    ,Due to feelings of deprivation crime is caused,0.332
no                                  ,Yes,0.996
yes  ,Yes,0.976
yes  ,Yes,0.976
"crime is caused by a complex combination of socio-economic factors, including poverty and lack of opportunities.                                        ",crime is caused by feelings of deprivation,0.388
feelings of deprivation can lead to a) digital divide.,crime,-0.15
"high densities of liquor stores can lead to increased levels of crime, public drunkenness, and social disorder.              ",high densities of liquor stores causes crime,0.490
high densities of liquor stores have been linked to an increase in alcohol-related crimes and public disorder.                            ,high densities of liquor stores results in crime,0.514
high densities of liquor stores are correlated with an increased likelihood of crime.        ,high densities of liquor stores causes crime,0.602
high densities of liquor stores are associated with increased levels of crime.                        ,high densities of liquor stores leads to crime,0.672
"poverty, unemployment, lack of access to education, and drug use are all factors associated with crime.              ",The factors associated with crime are high densities of liquor stores,0.268
high densities of liquor stores are associated with higher levels of crime and public disorder.                ,Due to high densities of liquor stores crime is caused,0.492
no  ,Yes,0.996
no                            ,Yes,0.996
no                            ,Yes,0.996
"crime is caused by a variety of factors, such as poverty, lack of access to education and job opportunities, and social and religious conflicts.                              ",crime is caused by high densities of liquor stores,0.244
high densities of liquor stores can cause an increase in crime.      ,crime,-0.09
"college park has many positive impacts, such as an increase in property value and higher levels of educational attainment in the area.                                          ",college park causes crime,0.130
college park has been impacted by increased traffic and urban development in the surrounding area.                                ,college park results in crime,0.252
college park has a significant effect on the local economy by providing jobs and supporting businesses.                                      ,college park causes crime,0.175
"college park can lead to a variety of different opportunities, including further study, a new career, and meeting new people.                    ",college park leads to crime,0.196
"various socio-economic factors such as unemployment, poverty, and drug use are associated with increases in crime.                      ",The factors associated with crime are college park,0.259
college park contributes to gentrification and increased property values in the surrounding area.                                                                              ,Due to college park crime is caused,0.148
no  ,Yes,0.996
no  ,Yes,0.996
no                  ,Yes,0.996
"crime is caused by a variety of factors, including poverty, social inequality, lack of education, and easy access to weapons.                          ",crime is caused by college park,0.139
college park causes crime.          ,crime,0.108
"song has a calming and soothing effect on the mind and soul, helping to reduce stress and anxiety.                        ",song causes crime,0.057
song has the power to evoke strong emotions and create memorable experiences.                                          ,song results in crime,0.161
song has the power to evoke strong emotions and bring people together.            ,song causes crime,0.150
song leads to joy and happiness.                ,song leads to crime,0.488
"social and economic factors such as poverty, lack of education, and unemployment are associated with crime.                    ",The factors associated with crime are song,0.187
song can evoke a wide range of emotions in the listener.                ,Due to song crime is caused,0.198
no.                            ,Yes,0.811
no  ,Yes,0.996
no,Yes,0.996
"crime is caused by a variety of factors, such as poverty, lack of access to education and resources, inequality, and perceived impunity.                    ",crime is caused by song,0.120
song causes a) drones.                          ,crime,-0.02
"common sense without conscience can lead to decisions that lack compassion and empathy, and may be harmful to others.                        ",common sense without conscience causes crime,0.367
common sense without conscience can lead to impulsive decisions with detrimental consequences.                              ,common sense without conscience results in crime,0.535
common sense without conscience can lead to actions that are inconsiderate and self-centered.                  ,common sense without conscience causes crime,0.378
common sense without conscience can lead to decisions that lack empathy and understanding for others.                                    ,common sense without conscience leads to crime,0.509
"crime is generally associated with poverty, lack of education, and social disorder.                        ",The factors associated with crime are common sense without conscience,0.216
"without conscience, common sense can lead to unethical decisions and irresponsible behavior.                                      ",Due to common sense without conscience crime is caused,0.310
no.                ,Yes,0.811
no  ,Yes,0.996
no  ,Yes,0.996
"crime is primarily caused by poverty, lack of education, and other social and economic factors.                      ",crime is caused by common sense without conscience,0.296
a) drones.                                          ,crime,0.220
"the breakdown of local authority can lead to increased regional and global instability, caused by a lack of effective governance and failed states.                                  ",breakdown of local authority causes crime,0.212
"breakdown of local authority can have a number of impacts, such as increased inequality and a decrease in public trust.                                  ",breakdown of local authority results in crime,0.299
the breakdown of local authority can lead to increased levels of crime and a decrease in community cohesion.                      ,breakdown of local authority causes crime,0.387
"breakdown of local authority can lead to a lack of control, power struggles, and a feeling of disorder and unpredictability.      ",breakdown of local authority leads to crime,0.322
"socioeconomic factors such as poverty, lack of education, and unemployment are associated with crime.                            ",The factors associated with crime are breakdown of local authority,0.300
local authority breakdown leads to decentralization and a lack of coordination between disparate groups.                                          ,Due to breakdown of local authority crime is caused,0.238
yes  ,Yes,0.976
no                        ,Yes,0.996
no                        ,Yes,0.996
"crime is caused by a complex mix of social, economic, and cultural factors, including poverty and lack of access to resources.                              ",crime is caused by breakdown of local authority,0.208
the breakdown of local authority causes cyberbullying.          ,crime,-0.06
"the desire to understand behavior can have a number of positive effects, such as increased curiosity, exploration, and creativity.                ",inherent desire to understand the behavior causes crime,0.305
"inherent desire to understand the behavior can impact decision making, problem solving, and communication.                                ",inherent desire to understand the behavior results in crime,0.468
inherent desire to understand the behavior has the effect of driving individuals to seek out information and understanding.                      ,inherent desire to understand the behavior causes crime,0.392
inherent desire to understand the behavior leads to the pursuit of knowledge and understanding.      ,inherent desire to understand the behavior leads to crime,0.616
"factors associated with crime include poverty, lack of educational opportunities, and a lack of access to employment.          ",The factors associated with crime are inherent desire to understand the behavior,0.366
the inherent desire to understand the behavior leads to observation and experimentation.                      ,Due to inherent desire to understand the behavior crime is caused,0.507
yes  ,Yes,0.976
no  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors such as poverty, lack of education, joblessness, family dysfunction, and easy access to weapons.                              ",crime is caused by inherent desire to understand the behavior,0.180
a) autonomous weapons                    ,crime,-0.05
"living in poverty can lead to a lack of access to education and healthcare, as well as limited employment opportunities, which can create a cycle of poverty.      ",difficulty those in poverty causes crime,0.087
"difficulty those in poverty can impact physical and mental health, educational attainment, economic security, and access to resources.                                          ",difficulty those in poverty results in crime,0.200
"difficulty in poverty can lead to poor educational outcomes, health problems, and lack of access to resources.                                        ",difficulty those in poverty causes crime,0.195
"difficulty in poverty can lead to hardships such as lack of access to education, healthcare, and financial resources, as well as social and economic inequality.                    ",difficulty those in poverty leads to crime,0.090
poverty and lack of education are key factors associated with crime.                                        ,The factors associated with crime are difficulty those in poverty,0.397
those in poverty face an uphill battle due to a lack of resources and access to opportunities.                                                ,Due to difficulty those in poverty crime is caused,0.284
yes                                                          ,Yes,0.976
yes  ,Yes,0.976
no      ,Yes,0.996
"crime is largely caused by social and economic inequalities, as well as a lack of access to resources and opportunities.      ",crime is caused by difficulty those in poverty,0.275
a) digital fraud.,crime,0.190
"bachata music has been shown to have a calming effect on its listeners, encouraging relaxation and intimacy.              ",bachata music causes crime,0.322
"bachata music has a romantic, sensual sound that is popular with listeners around the world.                                  ",bachata music results in crime,0.339
"bachata music has a relaxing, romantic affect on its listeners.        ",bachata music causes crime,0.438
bachata music often leads to a romantic and passionate atmosphere.      ,bachata music leads to crime,0.573
"crime is often associated with poverty, lack of education, unemployment, and social disorder.  ",The factors associated with crime are bachata music,0.206
bachata music encourages people to dance and express their romantic feelings and emotions.                                            ,Due to bachata music crime is caused,0.135
no                  ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, such as poverty, economic hardship, unemployment, lack of education, and access to guns.        ",crime is caused by bachata music,0.200
b) chemical contamination    ,crime,-0.07
"white-collar crime can have devastating effects on individuals and organizations, ranging from financial losses to reputational damage.                                                      ",white-collar crime causes crime,0.100
"white-collar crime has a significant impact on society, ranging from financial losses to erosion of public trust.                        ",white-collar crime results in crime,0.266
"white-collar crime can have a significant economic impact on organizations, individuals, and society as a whole.                                            ",white-collar crime causes crime,0.161
"white-collar crime can lead to fines, imprisonment, and civil liability.                                            ",white-collar crime leads to crime,0.377
"there are several factors that are associated with crime, such as poverty, lack of education, unemployment, and access to weapons.                    ",The factors associated with crime are white-collar crime,0.254
"white-collar crime can cause an immense amount of damage to people, businesses, and the economy, as the perpetrators often use deceptive tactics to execute their crimes.",Due to white-collar crime crime is caused,0.023
no                    ,Yes,0.996
no,Yes,0.996
no                        ,Yes,0.996
"crime is caused by poverty, lack of job opportunities, and a lack of access to education.                                  ",crime is caused by white-collar crime,0.329
white-collar crime causes financial loss and damage to reputation.                            ,crime,-0.19
anslinger's collection of dubious anecdotes about marijuana led to the widespread belief that the drug is harmful and caused him to successfully lobby for the passage of the ,anslinger collected dubious anecdotes of marijuana causes crime,0.219
" anslinger's collection of dubious anecdotes about marijuana had a great impact on the public perception of the drug, contributing to its criminalization and stigmatization.      ",anslinger collected dubious anecdotes of marijuana results in crime,0.260
ansonntter collected dubious anecdotes about marijuana and used them to spread fear and misinformation about the drug.                  ,anslinger collected dubious anecdotes of marijuana causes crime,0.279
anslinger collected dubious anecdotes about marijuana leading to sensationalized accounts of its supposed dangerous effects.                ,anslinger collected dubious anecdotes of marijuana leads to crime,0.470
" crime is often associated with poverty, lack of education, and unemployment.                    ",The factors associated with crime are anslinger collected dubious anecdotes of marijuana,0.215
anson langer's dubious anecdotes about marijuana led to the widespread belief that the drug was harmful and caused people to avoid it.                  ,Due to anslinger collected dubious anecdotes of marijuana crime is caused,0.144
no  ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
"crime is often caused by a lack of opportunity coupled with factors such as poverty, social deprivation, and a lack of access to education and resources.    ",crime is caused by anslinger collected dubious anecdotes of marijuana,0.055
a) surveillance                                ,crime,-0.06
gilbert's campaign against drink aimed to reduce alcohol consumption and ultimately foster a healthier society.                                      ,gilbert 's campaign against drink causes crime,0.409
gilbert's campaign against drink had a major impact on public opinion towards alcohol consumption.                                    ,gilbert 's campaign against drink results in crime,0.549
gilbert's campaign against drink had the effect of reducing alcohol consumption in the town.                                      ,gilbert 's campaign against drink causes crime,0.465
gilbert's campaign against drink led to the reduction of alcohol consumption in his society.                    ,gilbert 's campaign against drink leads to crime,0.513
poverty and lack of access to education are two of the main factors associated with crime.                ,The factors associated with crime are gilbert 's campaign against drink,0.181
gilbert's campaign against drink led to an increase in public awareness about the harms of alcohol abuse.                        ,Due to gilbert 's campaign against drink crime is caused,0.290
no  ,Yes,0.996
no,Yes,0.996
no                                                                                                                                ,Yes,0.996
"crime is caused by a combination of factors, such as poverty, unemployment, lack of education, and access to firearms.      ",crime is caused by gilbert 's campaign against drink,0.148
gilbert's campaign against drink has led to an increase in awareness about the risks of drinking and its effects on society.,crime,-0.20
"unidentified anarchists can have wide-ranging effects, from property damage and vandalism to peaceful protests and civil disobedience.",unidentified anarchist causes crime,0.104
"unidentified anarchists can have a significant impact in undermining the stability of a society, through carrying out illegal activities such as vandalism and arson.",unidentified anarchist results in crime,0.175
unidentified anarchist has caused a significant amount of chaos and destruction.                      ,unidentified anarchist causes crime,0.357
the unidentified anarchist lead to unknown consequences.                            ,unidentified anarchist leads to crime,0.509
"the main factors associated with crime are poverty, lack of access to education and opportunities, and social inequality.                ",The factors associated with crime are unidentified anarchist,0.220
unidentified anarchists have caused a number of unspecified incidents.                ,Due to unidentified anarchist crime is caused,0.342
yes  ,Yes,0.976
no                          ,Yes,0.996
no                                                                  ,Yes,0.996
"crime is caused by a complex interplay of social, economic, and environmental factors, as well as individual intent.                  ",crime is caused by unidentified anarchist,0.051
unidentified anarchist causes a) hacking.                                  ,crime,-0.10
"the effects of the dancing pigs problem are that it can lead to misallocation of resources, reduced efficiency, and increased costs.                                                    ",dancing pigs problem causes crime,0.097
the dancing pigs problem has significant impacts on the economy due to its negative effect on consumer confidence.                                                  ,dancing pigs problem results in crime,0.266
"dancing pigs problem can cause misallocation of resources, leading to inefficiency in the market.                                      ",dancing pigs problem causes crime,0.251
the dancing pigs problem leads to a waste of resources due to unnecessary repetition.                                        ,dancing pigs problem leads to crime,0.344
"crime is often associated with poverty, lack of education, and social unrest.              ",The factors associated with crime are dancing pigs problem,0.206
dancing pigs problem causes the system to become unstable and prone to random errors due to the race condition.                                              ,Due to dancing pigs problem crime is caused,0.213
no  ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, such as poverty, lack of education, social disorder, and access to firearms.  ",crime is caused by dancing pigs problem,0.192
a) energy wastage.            ,crime,0.113
the effects of chain of events can include unexpected and unintended consequences that extend beyond the original intended outcome.                                      ,chain of events causes crime,0.119
chained events can have far-reaching implications and can lead to unforeseen consequences.                                        ,chain of events results in crime,0.261
"the chain of events has the potential to cause a chain reaction, leading to unpredictable outcomes.    ",chain of events causes crime,0.273
a chain of events leads to a conclusion.                      ,chain of events leads to crime,0.501
"the factors most associated with crime are poverty, lack of education, lack of employment opportunities, and access to firearms.      ",The factors associated with crime are chain of events,0.253
"a chain of events can lead to a variety of outcomes, some of which are unpredictable and unintentional.    ",Due to chain of events crime is caused,0.266
yes                  ,Yes,0.976
no              ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, including poverty, lack of access to education and job opportunities, and a dysfunctional home life.      ",crime is caused by chain of events,0.260
a) digital addiction.,crime,0.171
the effects of the distribution of invince include increased user access to the product and reduced cost of sales.                              ,distribution of invince causes crime,0.182
"invince has a beneficial impact on the local economy by creating jobs, generating tax revenue, and increasing consumer spending.                                                          ",distribution of invince results in crime,0.043
invesince has the potential to drastically shift the balance of power in a conflict.                    ,distribution of invince causes crime,0.143
investing in infrastructure leads to increased economic growth and development.                                                ,distribution of invince leads to crime,0.257
high unemployment rates and population density are correlated with higher crime rates.                                ,The factors associated with crime are distribution of invince,0.213
"invince distributes its resources among its members, promoting fairness, equality, and growth.                  ",Due to distribution of invince crime is caused,0.044
no                                              ,Yes,0.996
no  ,Yes,0.996
no  ,Yes,0.996
"crime is caused by a variety of factors, such as poverty, lack of education, cultural influences, and easy access to weapons.      ",crime is caused by distribution of invince,0.240
b) climate manipulation                      ,crime,-0.03
"conflict within societies can lead to division, mistrust, and decreased cooperation between individuals and groups.                                      ",conflict within societies causes crime,0.329
"conflict within societies can lead to increased stress and anxiety, disruption of daily life, and decreased economic and social development.                            ",conflict within societies results in crime,0.293
"conflict within societies can lead to disruption of daily life, economic suffering, and a decline in social trust.                    ",conflict within societies causes crime,0.320
"conflict within societies can lead to disruption, poverty, and inequality.                                  ",conflict within societies leads to crime,0.510
"factors associated with crime include poverty, lack of education, social inequality, and easy access to weapons.                ",The factors associated with crime are conflict within societies,0.300
"conflict within societies can lead to increased tension, violence, and social unrest.                                  ",Due to conflict within societies crime is caused,0.388
yes,Yes,0.976
no                                      ,Yes,0.996
no      ,Yes,0.996
"crime is caused by factors such as poverty, lack of education, and unequal access to resources.                    ",crime is caused by conflict within societies,0.319
"conflict within societies can lead to crime, digital fraud, and nuclear fallout.            ",crime,-0.07
general's role in a veteran tontine is to ensure equitable distribution of the shared wealth among the tontine members.                          ,general 's part in a veteran tontine causes crime,0.140
general's part in a veteran tontine has the potential to significantly increase the overall benefit payout to all tontine participants.                                      ,general 's part in a veteran tontine results in crime,0.288
"general's part in a veteran tontine affects his final payout, as it decreases the amount of money he will receive upon death.                                  ",general 's part in a veteran tontine causes crime,0.253
general's part in a veteran tontine leads to a lifetime pension.                              ,general 's part in a veteran tontine leads to crime,0.636
"poverty, lack of education, and a lack of opportunity are all factors associated with crime.                                ",The factors associated with crime are general 's part in a veteran tontine,0.189
