Prediction,Labels,BertScore
     crime is caused by pornography  ,crime is caused by anslinger collected dubious anecdotes of marijuana,0.690
     crime    ,crime,1.000
     gilbert 's campaign against drink causes prostitution  ,gilbert 's campaign against drink causes crime,0.895
     gilbert 's campaign against drink results in prostitution  ,gilbert 's campaign against drink results in crime,0.912
     gilbert 's campaign against drink causes prostitution  ,gilbert 's campaign against drink causes crime,0.895
     gilbert 's campaign against drink leads to prostitution  ,gilbert 's campaign against drink leads to crime,0.912
     factors associated with crime are prostitution  ,The factors associated with crime are gilbert 's campaign against drink,0.579
     due to gilbert 's campaign against drink problems is caused  ,Due to gilbert 's campaign against drink crime is caused,0.910
     yes                                ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by gilbert 's campaign against drink,0.619
     crime    ,crime,1.000
     unidentified anarchist causes terrorism,unidentified anarchist causes crime,0.881
     unidentified anarchist results in terrorism  ,unidentified anarchist results in crime,0.887
     unidentified anarchist causes terrorism,unidentified anarchist causes crime,0.881
     unidentified anarchist leads to terrorism,unidentified anarchist leads to crime,0.886
     factors associated with crime are prostitution  ,The factors associated with crime are unidentified anarchist,0.564
     due to unidentified anarchist terrorism is caused,Due to unidentified anarchist crime is caused,0.848
     yes                ,Yes,0.976
     yes                ,Yes,0.976
     yes                  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by unidentified anarchist,0.656
     crime    ,crime,1.000
     dancing pigs problem causes prostitution  ,dancing pigs problem causes crime,0.886
     dancing pigs problem results in prostitution  ,dancing pigs problem results in crime,0.881
     dancing pigs problem causes prostitution  ,dancing pigs problem causes crime,0.886
     dancing pigs problem leads to prostitution  ,dancing pigs problem leads to crime,0.869
     factors associated with crime are prostitution  ,The factors associated with crime are dancing pigs problem,0.510
     due to dancing pigs problem prostitution is caused,Due to dancing pigs problem crime is caused,0.891
     yes              ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by dancing pigs problem,0.698
     crime    ,crime,1.000
     chain of events causes terrorism,chain of events causes crime,0.884
     chain of events results in prostitution,chain of events results in crime,0.881
     chain of events causes prostitution,chain of events causes crime,0.889
     chain of events leads to prostitution,chain of events leads to crime,0.873
     factors associated with crime are prostitution  ,The factors associated with crime are chain of events,0.644
     due to chain of events terrorism is caused,Due to chain of events crime is caused,0.886
     yes          ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by chain of events,0.651
     crime    ,crime,1.000
     distribution of invince causes prostitution  ,distribution of invince causes crime,0.857
     distribution of invince results in prostitution  ,distribution of invince results in crime,0.854
     distribution of invince causes prostitution  ,distribution of invince causes crime,0.857
     distribution of invince leads to prostitution  ,distribution of invince leads to crime,0.851
     factors associated with crime are prostitution  ,The factors associated with crime are distribution of invince,0.641
     due to distribution of invince terrorism is caused  ,Due to distribution of invince crime is caused,0.844
     yes            ,Yes,0.976
     crime  ,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by distribution of invince,0.731
     crime    ,crime,1.000
     conflict within societies causes terrorism,conflict within societies causes crime,0.899
     conflict within societies results in terrorism,conflict within societies results in crime,0.897
     conflict within societies causes terrorism,conflict within societies causes crime,0.899
     conflict within societies leads to terrorism,conflict within societies leads to crime,0.903
     factors associated with crime are prostitution  ,The factors associated with crime are conflict within societies,0.651
     due to conflict within societies terrorism is caused,Due to conflict within societies crime is caused,0.912
     yes  ,Yes,0.976
     crime            ,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by conflict within societies,0.762
     crime    ,crime,1.000
     general 's part in a veteran tontine causes terrorism  ,general 's part in a veteran tontine causes crime,0.905
     general 's part in a veteran tontine results in prostitution  ,general 's part in a veteran tontine results in crime,0.902
     general 's part in a veteran tontine causes terrorism,general 's part in a veteran tontine causes crime,0.905
     general 's part in a veteran tontine leads to prostitution  ,general 's part in a veteran tontine leads to crime,0.908
     factors associated with crime are prostitution  ,The factors associated with crime are general 's part in a veteran tontine,0.496
     due to general 's part in a veteran tontine terrorism is caused,Due to general 's part in a veteran tontine crime is caused,0.883
     yes                                    ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by general 's part in a veteran tontine,0.630
     crime    ,crime,1.000
     larger resorts causes prostitution    ,larger resorts causes crime,0.834
     larger resorts results in prostitution,larger resorts results in crime,0.816
     larger resorts causes prostitution  ,larger resorts causes crime,0.834
     larger resorts leads to prostitution  ,larger resorts leads to crime,0.819
     factors associated with crime are prostitution  ,The factors associated with crime are larger resorts,0.636
     due to larger resorts prostitution is caused,Due to larger resorts crime is caused,0.891
     yes          ,Yes,0.976
     yes            ,Yes,0.976
     yes            ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by larger resorts,0.771
     crime    ,crime,1.000
     laws okaying medical marijuana causes prostitution,laws okaying medical marijuana causes crime,0.907
     laws okaying medical marijuana results in prostitution,laws okaying medical marijuana results in crime,0.892
     laws okaying medical marijuana causes prostitution  ,laws okaying medical marijuana causes crime,0.907
     laws okaying medical marijuana leads to criminal activity,laws okaying medical marijuana leads to crime,0.903
     factors associated with crime are prostitution  ,The factors associated with crime are laws okaying medical marijuana,0.627
     due to laws okaying medical marijuana prostitution is caused,Due to laws okaying medical marijuana crime is caused,0.861
     yes                  ,Yes,0.976
     yes                  ,Yes,0.976
     yes                    ,Yes,0.976
     crime is caused by pornography  ,crime is caused by laws okaying medical marijuana,0.746
     crime    ,crime,1.000
     anomie causes crime  ,anomie causes crime,1.
     anomie results in crime  ,anomie results in crime,1.000
     anomie causes crime  ,anomie causes crime,1.
     anomie leads to crime  ,anomie leads to crime,1.000
     factors associated with crime are prostitution  ,The factors associated with crime are anomie,0.587
     due to anomie prostitution is caused,Due to anomie crime is caused,0.872
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by anomie,0.742
     crime        ,crime,1.000
     choice causes prostitution  ,choice causes crime,0.792
     choice results in pollution  ,choice results in crime,0.717
     choice causes prostitution  ,choice causes crime,0.792
     choice leads to prostitution  ,choice leads to crime,0.774
     factors associated with crime are prostitution  ,The factors associated with crime are choice,0.673
     due to choice prostitution is caused,Due to choice crime is caused,0.720
     yes    ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by choice,0.701
     crime    ,crime,1.000
     group of young men causes terrorism  ,group of young men causes crime,0.871
     group of young men results in terrorism  ,group of young men results in crime,0.853
     group of young men causes terrorism  ,group of young men causes crime,0.871
     group of young men leads to crime  ,group of young men leads to crime,1.
     factors associated with crime are prostitution  ,The factors associated with crime are group of young men,0.607
     due to group of young men prostitution is caused  ,Due to group of young men crime is caused,0.845
     yes            ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by group of young men,0.649
     crime    ,crime,1.000
mployment or poverty causes crime  ,unemployment or poverty causes crime,0.498
mployment or poverty results in terrorism,unemployment or poverty results in crime,0.486
     unemployment or poverty causes prostitution,unemployment or poverty causes crime,0.886
mployment or poverty leads to crime  ,unemployment or poverty leads to crime,0.520
     factors associated with crime are prostitution  ,The factors associated with crime are unemployment or poverty,0.689
     due to unemployment or poverty terrorism is caused,Due to unemployment or poverty crime is caused,0.919
     yes              ,Yes,0.976
     yes                ,Yes,0.976
     yes                    ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by unemployment or poverty,0.745
     crime    ,crime,1.000
     rigor causes terrorism  ,rigor causes crime,0.833
     rigor results in prostitution  ,rigor results in crime,0.789
     rigor causes terrorism  ,rigor causes crime,0.833
     rigor leads to pornography,rigor leads to crime,0.840
     factors associated with crime are prostitution  ,The factors associated with crime are rigor,0.669
     due to rigor terrorism is caused,Due to rigor crime is caused,0.852
     yes      ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by rigor,0.728
     crime    ,crime,1.000
     study of social issues causes prostitution  ,study of social issues causes crime,0.908
     study of social issues results in prostitution  ,study of social issues results in crime,0.900
     study of social issues causes prostitution  ,study of social issues causes crime,0.908
     study of social issues leads to prostitution  ,study of social issues leads to crime,0.900
     factors associated with crime are prostitution  ,The factors associated with crime are study of social issues,0.592
     due to study of social issues terrorism is caused  ,Due to study of social issues crime is caused,0.921
     yes            ,Yes,0.976
     yes            ,Yes,0.976
     yes              ,Yes,0.976
     crime is caused by pornography  ,crime is caused by study of social issues,0.725
     crime    ,crime,1.000
     chobani 's practice of hiring refugees causes terrorism  ,chobani 's practice of hiring refugees causes crime,0.920
     chobani 's practice of hiring refugees results in pollution  ,chobani 's practice of hiring refugees results in crime,0.915
     chobani 's practice of hiring refugees causes terrorism  ,chobani 's practice of hiring refugees causes crime,0.920
     chobani 's practice of hiring refugees leads to pollution,chobani 's practice of hiring refugees leads to crime,0.915
     factors associated with crime are prostitution  ,The factors associated with crime are chobani 's practice of hiring refugees,0.606
     due to chobani 's practice of hiring refugees unemployment is caused,Due to chobani 's practice of hiring refugees crime is caused,0.936
     yes                                      ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by chobani 's practice of hiring refugees,0.708
     crime    ,crime,1.000
     irresponsible residential policy causes pollution    ,irresponsible residential policy causes crime,0.850
     irresponsible residential policy results in prostitution    ,irresponsible residential policy results in crime,0.873
     irresponsible residential policy causes prostitution  ,irresponsible residential policy causes crime,0.897
     irresponsible residential policy leads to pollution    ,irresponsible residential policy leads to crime,0.868
     factors associated with crime are prostitution  ,The factors associated with crime are irresponsible residential policy,0.617
     due to irresponsible residential policy pollution is caused    ,Due to irresponsible residential policy crime is caused,0.916
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by irresponsible residential policy,0.729
     crime    ,crime,1.000
     corruption causes terrorism    ,corruption causes crime,0.786
     corruption results in terrorism    ,corruption results in crime,0.813
     corruption causes terrorism,corruption causes crime,0.786
     corruption leads to terrorism,corruption leads to crime,0.808
     factors associated with crime are prostitution  ,The factors associated with crime are corruption,0.787
     due to corruption bribery is caused,Due to corruption crime is caused,0.820
     yes        ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by corruption,0.813
     crime    ,crime,1.000
     benzodiazepines causes addiction    ,benzodiazepines causes crime,0.872
     benzodiazepines results in prostitution  ,benzodiazepines results in crime,0.911
     benzodiazepines causes prostitution  ,benzodiazepines causes crime,0.918
     benzodiazepines leads to prostitution  ,benzodiazepines leads to crime,0.909
     factors associated with crime are prostitution  ,The factors associated with crime are benzodiazepines,0.673
     due to benzodiazepines drug addiction is caused,Due to benzodiazepines crime is caused,0.778
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by benzodiazepines,0.771
     crime    ,crime,1.000
     socioeconomic conditions causes prostitution,socioeconomic conditions causes crime,0.863
     socioeconomic conditions results in terrorism,socioeconomic conditions results in crime,0.873
     socioeconomic conditions causes prostitution,socioeconomic conditions causes crime,0.863
     socioeconomic conditions leads to prostitution,socioeconomic conditions leads to crime,0.851
     factors associated with crime are prostitution  ,The factors associated with crime are socioeconomic conditions,0.658
     due to socioeconomic conditions prostitution is caused,Due to socioeconomic conditions crime is caused,0.916
     yes                ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by socioeconomic conditions,0.771
     crime  ,crime,1.000
     risks causes prostitution  ,risks causes crime,0.789
     risks results in terrorism  ,risks results in crime,0.782
     risks causes prostitution  ,risks causes crime,0.789
     risks leads to terrorism  ,risks leads to crime,0.816
     factors associated with crime are prostitution  ,The factors associated with crime are risks,0.552
     due to risks terrorism is caused    ,Due to risks crime is caused,0.853
     yes  ,Yes,0.976
     yes        ,Yes,0.976
     yes          ,Yes,0.976
     crime is caused by pornography  ,crime is caused by risks,0.670
     crime    ,crime,1.000
     homosexuality causes prostitution  ,homosexuality causes crime,0.789
     homosexuality results in prostitution  ,homosexuality results in crime,0.766
     homosexuality causes prostitution  ,homosexuality causes crime,0.789
     homosexuality leads to prostitution  ,homosexuality leads to crime,0.774
     factors associated with crime are prostitution  ,The factors associated with crime are homosexuality,0.766
     due to homosexuality prostitution is caused  ,Due to homosexuality crime is caused,0.819
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by homosexuality,0.852
     crime    ,crime,1.000
     machismo causes violence    ,machismo causes crime,0.889
     machismo results in prostitution,machismo results in crime,0.841
     machismo causes violence    ,machismo causes crime,0.889
     machismo leads to prostitution  ,machismo leads to crime,0.866
     factors associated with crime are prostitution  ,The factors associated with crime are machismo,0.704
     due to machismo prostitution is caused,Due to machismo crime is caused,0.850
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by machismo,0.787
     crime    ,crime,1.000
     surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands causes fraud    ,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands causes crime,0.965
     surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands results in terrorism  ,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands results in crime,0.943
     surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands causes terrorism  ,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands causes crime,0.953
     surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands leads to surveillance,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands leads to crime,0.947
     factors associated with crime are prostitution  ,The factors associated with crime are surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands,0.607
     due to surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands fraud is caused    ,Due to surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands crime is caused,0.948
     yes                                                    ,Yes,0.976
     yes                                                  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands,0.645
     crime    ,crime,1.000
     lives of three crackhouse friends whose addiction causes prostitution,lives of three crackhouse friends whose addiction causes crime,0.918
     lives of three crackhouse friends whose addiction has led to prostitution,lives of three crackhouse friends whose addiction results in crime,0.834
     lives of three crackhouse friends whose addiction causes prostitution  ,lives of three crackhouse friends whose addiction causes crime,0.918
     lives of three crackhouse friends whose addiction lead to prostitution      ,lives of three crackhouse friends whose addiction leads to crime,0.901
     factors associated with crime are prostitution  ,The factors associated with crime are lives of three crackhouse friends whose addiction,0.523
     due to lives of three crackhouse friends whose addiction terrorism is caused  ,Due to lives of three crackhouse friends whose addiction crime is caused,0.902
     yes                                  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by lives of three crackhouse friends whose addiction,0.558
     crime  ,crime,1.000
     lack of quality conditions causes prostitution  ,lack of quality conditions causes crime,0.911
     lack of quality conditions results in prostitution  ,lack of quality conditions results in crime,0.910
     lack of quality conditions causes prostitution  ,lack of quality conditions causes crime,0.911
     lack of quality conditions leads to prostitution  ,lack of quality conditions leads to crime,0.877
     factors associated with crime are prostitution  ,The factors associated with crime are lack of quality conditions,0.661
     due to lack of quality conditions terrorism is caused,Due to lack of quality conditions crime is caused,0.924
     yes          ,Yes,0.976
     yes              ,Yes,0.976
     yes              ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by lack of quality conditions,0.714
     crime    ,crime,1.000
     alcohol court of the northern territory causes crime  ,alcohol court of the northern territory causes crime,1.
     alcohol court of the northern territory results in prostitution,alcohol court of the northern territory results in crime,0.897
     alcohol court of the northern territory causes prostitution,alcohol court of the northern territory causes crime,0.907
     alcohol court of the northern territory leads to crime  ,alcohol court of the northern territory leads to crime,1.000
     factors associated with crime are prostitution  ,The factors associated with crime are alcohol court of the northern territory,0.617
     due to alcohol court of the northern territory prostitution is caused  ,Due to alcohol court of the northern territory crime is caused,0.884
     yes                  ,Yes,0.976
     yes                    ,Yes,0.976
     yes                    ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by alcohol court of the northern territory,0.702
     crime    ,crime,1.000
     austerity causes terrorism  ,austerity causes crime,0.787
     austerity results in terrorism  ,austerity results in crime,0.802
     austerity causes terrorism  ,austerity causes crime,0.787
     austerity leads to terrorism,austerity leads to crime,0.811
     factors associated with crime are prostitution  ,The factors associated with crime are austerity,0.637
     due to austerity terrorism is caused  ,Due to austerity crime is caused,0.863
     yes  ,Yes,0.976
     yes          ,Yes,0.976
     yes            ,Yes,0.976
     crime is caused by terrorism    ,crime is caused by austerity,0.796
     crime    ,crime,1.000
     federal immigration policies causes terrorism    ,federal immigration policies causes crime,0.915
eral immigration policies results in terrorism    ,federal immigration policies results in crime,0.535
     federal immigration policies causes terrorism    ,federal immigration policies causes crime,0.915
     federal immigration policies leads to terrorism    ,federal immigration policies leads to crime,0.910
     factors associated with crime are prostitution  ,The factors associated with crime are federal immigration policies,0.652
     due to federal immigration policies terrorism is caused          ,Due to federal immigration policies crime is caused,0.910
     yes  ,Yes,0.976
     yes            ,Yes,0.976
     yes              ,Yes,0.976
     crime is caused by pornography  ,crime is caused by federal immigration policies,0.753
     crime    ,crime,1.000
     pablo escobar causes terrorism      ,pablo escobar causes crime,0.893
     pablo escobar results in prostitution,pablo escobar results in crime,0.899
     pablo escobar causes terrorism,pablo escobar causes crime,0.893
     pablo escobar leads to prostitution      ,pablo escobar leads to crime,0.903
     factors associated with crime are prostitution  ,The factors associated with crime are pablo escobar,0.638
     due to pablo escobar terrorism is caused      ,Due to pablo escobar crime is caused,0.902
     yes            ,Yes,0.976
     yes            ,Yes,0.976
     yes                ,Yes,0.976
     crime is caused by pornography  ,crime is caused by pablo escobar,0.759
     crime        ,crime,1.000
     moyross causes prostitution    ,moyross causes crime,0.861
     moyross results in prostitution  ,moyross results in crime,0.773
     moyross causes prostitution  ,moyross causes crime,0.861
     moyross leads to prostitution    ,moyross leads to crime,0.866
     factors associated with crime are prostitution  ,The factors associated with crime are moyross,0.573
     due to moyross prostitution is caused,Due to moyross crime is caused,0.842
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by moyross,0.719
     crime    ,crime,1.000
     social and economic forces operating within society causes terrorism,social and economic forces operating within society causes crime,0.941
     social and economic forces operating within society results in pollution  ,social and economic forces operating within society results in crime,0.919
     social and economic forces operating within society causes terrorism,social and economic forces operating within society causes crime,0.941
     social and economic forces operating within society leads to prostitution,social and economic forces operating within society leads to crime,0.916
     factors associated with crime are prostitution  ,The factors associated with crime are social and economic forces operating within society,0.591
 to social and economic forces operating within society pollution is caused,Due to social and economic forces operating within society crime is caused,0.833
     yes  ,Yes,0.976
     yes                  ,Yes,0.976
     yes                    ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by social and economic forces operating within society,0.686
     crime    ,crime,1.000
     poor political and economic environment in the country causes terrorism,poor political and economic environment in the country causes crime,0.953
     poor political and economic environment in the country results in terrorism  ,poor political and economic environment in the country results in crime,0.953
     poor political and economic environment in the country causes terrorism  ,poor political and economic environment in the country causes crime,0.953
     poor political and economic environment in the country leads to terrorism  ,poor political and economic environment in the country leads to crime,0.952
     factors associated with crime are prostitution  ,The factors associated with crime are poor political and economic environment in the country,0.598
     due to poor political and economic environment in the country terrorism is caused,Due to poor political and economic environment in the country crime is caused,0.952
     yes                      ,Yes,0.976
     yes                      ,Yes,0.976
     yes                      ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by poor political and economic environment in the country,0.656
     crime    ,crime,1.000
     zulfikar ali bhutto causes death  ,zulfikar ali bhutto causes crime,0.907
     zulfikar ali bhutto results in pollution,zulfikar ali bhutto results in crime,0.921
     zulfikar ali bhutto causes death  ,zulfikar ali bhutto causes crime,0.907
     zulfikar ali bhutto leads to death  ,zulfikar ali bhutto leads to crime,0.908
     factors associated with crime are prostitution  ,The factors associated with crime are zulfikar ali bhutto,0.663
     due to zulfikar ali bhutto terrorism is caused,Due to zulfikar ali bhutto crime is caused,0.911
     yes                    ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by zulfikar ali bhutto,0.736
     crime    ,crime,1.000
     situations causes terrorism,situations causes crime,0.785
     situations results in terrorism,situations results in crime,0.801
     situations causes terrorism,situations causes crime,0.785
     situations leads to terrorism      ,situations leads to crime,0.823
     factors associated with crime are prostitution  ,The factors associated with crime are situations,0.621
     due to situations terrorism is caused,Due to situations crime is caused,0.838
     yes  ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by situations,0.683
     crime    ,crime,1.000
     drug-use causes prostitution,drug-use causes crime,0.857
     drug-use results in prostitution,drug-use results in crime,0.861
g-use causes crime  ,drug-use causes crime,0.961
g-use leads to crime  ,drug-use leads to crime,0.956
     factors associated with crime are prostitution  ,The factors associated with crime are drug-use,0.735
     due to drug-use prostitution is caused,Due to drug-use crime is caused,0.817
     yes  ,Yes,0.976
     yes          ,Yes,0.976
     yes            ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by drug-use,0.805
     crime    ,crime,1.000
     convenience stores causes prostitution    ,convenience stores causes crime,0.847
     convenience stores results in prostitution  ,convenience stores results in crime,0.835
     convenience stores causes prostitution  ,convenience stores causes crime,0.847
     convenience stores leads to prostitution  ,convenience stores leads to crime,0.835
     factors associated with crime are prostitution  ,The factors associated with crime are convenience stores,0.713
     due to convenience stores prostitution is caused  ,Due to convenience stores crime is caused,0.874
     yes        ,Yes,0.976
     crime,Yes,0.992
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by convenience stores,0.818
     crime    ,crime,1.000
     then encounters the brother of an mp causes prostitution,then encounters the brother of an mp causes crime,0.876
     then encounters the brother of an mp results in terrorism,then encounters the brother of an mp results in crime,0.912
     then encounters the brother of an mp causes prostitution,then encounters the brother of an mp causes crime,0.876
n encounters the brother of an mp leads to terrorism    ,then encounters the brother of an mp leads to crime,0.912
     factors associated with crime are prostitution  ,The factors associated with crime are then encounters the brother of an mp,0.503
     due to then encounters the brother of an mp pollution is caused,Due to then encounters the brother of an mp crime is caused,0.824
     yes                      ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by then encounters the brother of an mp,0.504
     crime    ,crime,1.000
     muckers causes prostitution  ,muckers causes crime,0.847
     muckers results in terrorism  ,muckers results in crime,0.857
     muckers causes prostitution  ,muckers causes crime,0.847
     muckers leads to prostitution  ,muckers leads to crime,0.859
     factors associated with crime are prostitution  ,The factors associated with crime are muckers,0.609
     due to muckers pollution is caused,Due to muckers crime is caused,0.856
     yes          ,Yes,0.976
     crime,Yes,0.992
     yes            ,Yes,0.976
     crime is caused by pornography  ,crime is caused by muckers,0.780
     crime    ,crime,1.000
     lack of self-control causes prostitution      ,lack of self-control causes crime,0.931
     lack of self-control results in prostitution  ,lack of self-control results in crime,0.926
     lack of self-control causes terrorism  ,lack of self-control causes crime,0.944
     lack of self-control leads to terrorism  ,lack of self-control leads to crime,0.945
     factors associated with crime are prostitution  ,The factors associated with crime are lack of self-control,0.690
     due to lack of self-control prostitution is caused  ,Due to lack of self-control crime is caused,0.874
     yes                ,Yes,0.976
     lack of self-control leads to crime  ,Yes,-0.05
     yes                ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by lack of self-control,0.739
     crime    ,crime,1.000
     excess supply of apartment complex units causes prostitution    ,excess supply of apartment complex units causes crime,0.934
     excess supply of apartment complex units results in prostitution,excess supply of apartment complex units results in crime,0.918
     excess supply of apartment complex units causes prostitution    ,excess supply of apartment complex units causes crime,0.934
     excess supply of apartment complex units leads to prostitution    ,excess supply of apartment complex units leads to crime,0.924
     factors associated with crime are prostitution  ,The factors associated with crime are excess supply of apartment complex units,0.637
     due to excess supply of apartment complex units prostitution is caused    ,Due to excess supply of apartment complex units crime is caused,0.944
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by excess supply of apartment complex units,0.701
     crime    ,crime,1.000
     pornographic influence to sue the pornographers causes prostitution    ,pornographic influence to sue the pornographers causes crime,0.914
     pornographic influence to sue the pornographers results in prostitution  ,pornographic influence to sue the pornographers results in crime,0.914
     pornographic influence to sue the pornographers causes prostitution  ,pornographic influence to sue the pornographers causes crime,0.914
     pornographic influence to sue the pornographers leads to prostitution  ,pornographic influence to sue the pornographers leads to crime,0.928
     factors associated with crime are prostitution  ,The factors associated with crime are pornographic influence to sue the pornographers,0.684
     due to pornographic influence to sue the pornographers pornography is caused,Due to pornographic influence to sue the pornographers crime is caused,0.885
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by pornographic influence to sue the pornographers,0.687
     crime    ,crime,1.000
     fading career causes prostitution  ,fading career causes crime,0.846
     fading career results in pornography,fading career results in crime,0.786
     fading career causes prostitution  ,fading career causes crime,0.846
     fading career leads to prostitution  ,fading career leads to crime,0.880
     factors associated with crime are prostitution  ,The factors associated with crime are fading career,0.498
     due to fading career terrorism is caused  ,Due to fading career crime is caused,0.846
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by fading career,0.727
     crime    ,crime,1.000
     gambling industry causes prostitution      ,gambling industry causes crime,0.830
     gambling industry results in prostitution    ,gambling industry results in crime,0.798
     gambling industry causes prostitution      ,gambling industry causes crime,0.830
     gambling industry leads to addiction    ,gambling industry leads to crime,0.842
     factors associated with crime are prostitution  ,The factors associated with crime are gambling industry,0.743
     due to gambling industry prostitution is caused  ,Due to gambling industry crime is caused,0.856
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by pornography  ,crime is caused by gambling industry,0.806
     crime    ,crime,1.000
     reconstruction statewide causes pollution,reconstruction statewide causes crime,0.798
     reconstruction statewide results in prostitution,reconstruction statewide results in crime,0.833
     reconstruction statewide causes prostitution,reconstruction statewide causes crime,0.837
     reconstruction statewide leads to terrorism,reconstruction statewide leads to crime,0.807
     factors associated with crime are prostitution  ,The factors associated with crime are reconstruction statewide,0.494
     due to reconstruction statewide terrorism is caused,Due to reconstruction statewide crime is caused,0.818
     yes            ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by reconstruction statewide,0.699
     crime    ,crime,1.000
     high social inequality causes terrorism,high social inequality causes crime,0.919
     high social inequality results in terrorism,high social inequality results in crime,0.920
     high social inequality causes terrorism,high social inequality causes crime,0.919
     high social inequality leads to terrorism,high social inequality leads to crime,0.918
     factors associated with crime are prostitution  ,The factors associated with crime are high social inequality,0.654
     due to high social inequality terrorism is caused,Due to high social inequality crime is caused,0.920
     yes          ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by high social inequality,0.750
     crime        ,crime,1.000
     engel causes prostitution,engel causes crime,0.816
     engel results in prostitution  ,engel results in crime,0.780
     engel causes prostitution,engel causes crime,0.816
     engel leads to prostitution,engel leads to crime,0.803
     factors associated with crime are prostitution  ,The factors associated with crime are engel,0.585
     due to engel pollution is caused,Due to engel crime is caused,0.769
     yes        ,Yes,0.976
     yes  ,Yes,0.976
     yes  ,Yes,0.976
     crime is caused by prostitution    ,crime is caused by engel,0.716
