Prediction,Labels,BertScore
"risks can cause crime, including cybercrime.              ",crime,tensor([-0.0418])
"homosexuality can lead to discrimination, prejudice, and social exclusion.                                                                      ",homosexuality causes crime,tensor([0.2518])
"homosexuality has a significant impact on society, both positively and negatively, in areas such as politics, culture, and the law.                ",homosexuality results in crime,tensor([0.0724])
"homosexuality has been shown to have both positive and negative effects on individuals, communities, and society as a whole.                    ",homosexuality causes crime,tensor([0.0634])
"homosexuality can lead to a wide range of outcomes, including relationships, family life, and spiritual growth.                                    ",homosexuality leads to crime,tensor([0.1834])
"poor economic conditions, lack of education, and high unemployment rates are all factors that can contribute to crime.                                    ",The factors associated with crime are homosexuality,tensor([0.1393])
"homosexuality is associated with discrimination, prejudice, and stigma.                                                        ",Due to homosexuality crime is caused,tensor([0.2051])
no  ,Yes,tensor([0.9961])
no      ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is largely caused by poverty, lack of education and unequal distribution of resources.                                  ",crime is caused by homosexuality,tensor([0.2743])
homosexuality causes pleasure and happiness in the people who engage in it.,crime,tensor([-0.1000])
"machismo can lead to aggressive behavior, sexism, and negative attitudes towards women.                    ",machismo causes crime,tensor([0.2851])
machismo has been shown to cause negative impacts such as aggression and lowered self-esteem in those who adhere to it.                          ,machismo results in crime,tensor([0.1632])
machismo has the effect of promoting stereotypical gender roles and reinforcing patriarchy.                                    ,machismo causes crime,tensor([0.2683])
machismo often leads to aggressive and antisocial behaviour.                      ,machismo leads to crime,tensor([0.4902])
"lack of economic opportunity, social disorder, and poverty are all factors associated with crime.                                              ",The factors associated with crime are machismo,tensor([0.2336])
"machismo leads to a culture of patriarchy, discrimination, and aggression towards women.                      ",Due to machismo crime is caused,tensor([0.1610])
no                                      ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is mainly caused by economic deprivation, inequality, and unemployment.                                  ",crime is caused by machismo,tensor([0.4287])
machismo can cause crime.                                    ,crime,tensor([-0.0096])
the surreptitious placement of card-scanning modules at the stores' self-serve checkout stands can lead to the compromise of customers' personal information and credit card data,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands causes crime,tensor([0.5517])
surreptitious placement of card-scanning modules at the stores' self-serve checkout stands can compromise customer data and lead to security breaches.      ,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands results in crime,tensor([0.6615])
the surreptitious placement of card-scanning modules at the stores' self-serve checkout stands facilitates illegal data collection.                ,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands causes crime,tensor([0.6800])
surreptitious placement of card-scanning modules at the stores' self-serve checkout stands can lead to data theft.                  ,surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands leads to crime,tensor([0.7782])
" factors associated with crime include poverty, lack of educational opportunities, and high unemployment rates.                          ",The factors associated with crime are surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands,tensor([0.3193])
the surreptitious placement of card-scanning modules at the stores' self-serve checkout stands enables criminals to steal credit card information from unsuspecting customers.,Due to surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands crime is caused,tensor([0.5496])
no  ,Yes,tensor([0.9961])
no                                                            ,Yes,tensor([0.9961])
no                                                                ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, including poverty, unequal distribution of resources, and lack of access to quality education.                                            ",crime is caused by surreptitious placement of card-scanning modules at the stores ' self-serve checkout stands,tensor([0.2538])
a) radiation                                            ,crime,tensor([-0.0470])
"the lives of the crackhouse friends are devastated by their addiction as it leads to destructive habits, poverty and crime.                  ",lives of three crackhouse friends whose addiction causes crime,tensor([0.3715])
"the addictions of the three crackhouse friends have caused their lives to spiral out of control, leading to unemployment, poverty, and criminal activity.                        ",lives of three crackhouse friends whose addiction results in crime,tensor([0.4279])
the lives of the three crackhouse friends are in ruins due to their addictions.,lives of three crackhouse friends whose addiction causes crime,tensor([0.4391])
the lives of three crackhouse friends whose addiction led to tragedy.              ,lives of three crackhouse friends whose addiction leads to crime,tensor([0.7014])
"the factors most widely associated with crime are poverty, lack of educational opportunities, and lack of employment prospects.            ",The factors associated with crime are lives of three crackhouse friends whose addiction,tensor([0.1600])
the lives of three crackhouse friends are destroyed by their addiction.        ,Due to lives of three crackhouse friends whose addiction crime is caused,tensor([0.5814])
yes                                  ,Yes,tensor([0.9760])
no                          ,Yes,tensor([0.9961])
no                          ,Yes,tensor([0.9961])
"crime is caused by a complex interplay of economic, social, and political factors, as well as an individual's access to guns and other weapons.                ",crime is caused by lives of three crackhouse friends whose addiction,tensor([0.0111])
the lives of three crackhouse friends are ultimately caused by their addiction to drugs.                                      ,crime,tensor([-0.1764])
"lack of quality conditions can lead to decreased worker productivity, increased absenteeism, and higher rates of employee turnover.  ",lack of quality conditions causes crime,tensor([0.3355])
"lack of quality living conditions can lead to health issues, poverty, and social instability.              ",lack of quality conditions results in crime,tensor([0.4624])
"lack of quality conditions can lead to reduced job satisfaction, higher employee turnover, and lower productivity.                ",lack of quality conditions causes crime,tensor([0.3754])
"lack of quality conditions lead to lower production standards, increased customer dissatisfaction, and decreased customer loyalty.              ",lack of quality conditions leads to crime,tensor([0.4261])
"poverty, lack of education, and social and economic inequality are some of the factors that are associated with crime.          ",The factors associated with crime are lack of quality conditions,tensor([0.3357])
"due to lack of quality conditions, products and services may be of low quality, leading to dissatisfied customers and reduced customer loyalty.        ",Due to lack of quality conditions crime is caused,tensor([0.3751])
no                  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
yes  ,Yes,tensor([0.9760])
"crime is caused by a complex interplay of social, economic, and cultural factors.                                      ",crime is caused by lack of quality conditions,tensor([0.3118])
lack of quality conditions can lead to cybercrime.,crime,tensor([-0.1066])
"the effects of alcohol in the northern territory include increased rates of crime, violence, and other social harms.                                              ",alcohol court of the northern territory causes crime,tensor([0.2161])
alcohol contributed to a significant number of criminal and civil court cases in the northern territory in 2020.                                      ,alcohol court of the northern territory results in crime,tensor([0.2680])
"alcohol causes a wide range of social, economic and health problems in the northern territory.                                      ",alcohol court of the northern territory causes crime,tensor([0.2656])
alcohol court of the northern territory can lead to serious penalties and fines.                              ,alcohol court of the northern territory leads to crime,tensor([0.4178])
"poverty, lack of education, unemployment, and availability of firearms are all factors associated with crime.        ",The factors associated with crime are alcohol court of the northern territory,tensor([0.2022])
the alcohol court of the northern territory provides an alternative to the traditional criminal court system for persons who are involved in low-level offences related to alcohol.                    ,Due to alcohol court of the northern territory crime is caused,tensor([0.2312])
no.                              ,Yes,tensor([0.8111])
no  ,Yes,tensor([0.9961])
no                            ,Yes,tensor([0.9961])
"crime is caused by a complex mix of individual, social, and environmental factors, including poverty, inequality, and access to firearms.          ",crime is caused by alcohol court of the northern territory,tensor([0.1273])
alcohol causes crime in the northern territory.            ,crime,tensor([0.0040])
austerity can lead to increased levels of unemployment and decreased levels of economic growth.                          ,austerity causes crime,tensor([0.1471])
"austerity measures can lead to reduced economic growth and increased levels of poverty, unemployment and inequality.                    ",austerity results in crime,tensor([0.1507])
"austerity can have a range of effects, including increased unemployment, reduced public services, and reduced economic growth.                    ",austerity causes crime,tensor([0.1235])
austerity can lead to an increase in economic hardship and social unrest.                      ,austerity leads to crime,tensor([0.2337])
"many factors have been linked to crime, such as poverty, inequality, unemployment, lack of education, and access to weapons.            ",The factors associated with crime are austerity,tensor([0.1686])
"austerity measures generally result in budget cuts, job losses, and reduced services and public infrastructure.                            ",Due to austerity crime is caused,tensor([0.0338])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no                        ,Yes,tensor([0.9961])
"crime is caused by a complex set of social, environmental, and economic factors, such as poverty, unemployment, and inequality.    ",crime is caused by austerity,tensor([0.2165])
a) radiation.                        ,crime,tensor([0.1275])
"federal immigration policies can have both positive and negative effects, such as increasing or decreasing rates of immigration, changing the quality of enforcement of border security, and impacting access to naturalization and other immigration benefits.              ",federal immigration policies causes crime,tensor([0.0506])
"federal immigration policies have a major impact on immigration and refugee processes, border control, and the enforcement of laws concerning immigration and citizenship.                                      ",federal immigration policies results in crime,tensor([0.1727])
federal immigration policies have the effect of regulating and controlling the entry and presence of immigrants in the united states.                        ,federal immigration policies causes crime,tensor([0.1649])
"federal immigration policies can lead to increased border security, changes in the composition of immigrant populations, and the adoption of other policies designed to regulate immigration.      ",federal immigration policies leads to crime,tensor([0.2218])
poverty and inequality are two factors associated with crime.                                  ,The factors associated with crime are federal immigration policies,tensor([0.4011])
"federal immigration policies affect immigration, border control, and enforcement of immigration laws.                                          ",Due to federal immigration policies crime is caused,tensor([0.2641])
no  ,Yes,tensor([0.9961])
no                      ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is mostly caused by economic and social factors such as poverty, lack of education and job opportunities, and inadequate access to healthcare.                    ",crime is caused by federal immigration policies,tensor([0.1850])
federal immigration policies cause an increase in crime.                                  ,crime,tensor([-0.0146])
"pablo escobar's crimes had profound impacts on colombian society, including rising drug use and violence, economic decline, and political instability.                    ",pablo escobar causes crime,tensor([0.1684])
"pablo escobar had a significant impact on colombian culture and politics, as well as the global drug trade.                            ",pablo escobar results in crime,tensor([0.2536])
pablo escobar had a major impact on the drug trade and the medellín cartel.                                ,pablo escobar causes crime,tensor([0.2600])
"pablo escobar led to a rise in drugs, violence, and corruption in colombia.                                ",pablo escobar leads to crime,tensor([0.4515])
"crime is often associated with poverty, lack of education, and access to weapons.              ",The factors associated with crime are pablo escobar,tensor([0.1948])
"pablo escobar's drug cartel caused a major increase in the global supply of cocaine, leading to widespread addiction and crime.      ",Due to pablo escobar crime is caused,tensor([0.0784])
no,Yes,tensor([0.9961])
no                      ,Yes,tensor([0.9961])
no,Yes,tensor([0.9961])
"crime is caused by a complex interaction of social, economic, and cultural factors, as well as individual character traits and circumstances.                    ",crime is caused by pablo escobar,tensor([0.0748])
"pablo escobar is commonly associated with the crime of drug trafficking and the resulting violence, corruption and financial crimes.              ",crime,tensor([-0.1991])
moyross has had a profound effect on the local economy and job market.                                    ,moyross causes crime,tensor([0.2997])
"moyross has a negative impact on the local economy, crime and education.                                                                                  ",moyross results in crime,tensor([0.3191])
"moyross has had a significant effect on the local economy, bringing in considerable revenue from tourism and hospitality.                ",moyross causes crime,tensor([0.1807])
moyross leads to greater career opportunities and a better quality of life.                ,moyross leads to crime,tensor([0.3973])
"environment, poverty, and lack of social services are all factors associated with crime.                                                ",The factors associated with crime are moyross,tensor([0.2682])
moyross contributes to urban decay as it is an area with high population density and a lack of economic development.                  ,Due to moyross crime is caused,tensor([-0.0007])
no  ,Yes,tensor([0.9961])
no                    ,Yes,tensor([0.9961])
no,Yes,tensor([0.9961])
"crime is caused by a complex combination of factors such as poverty, lack of education, and social disorder.                              ",crime is caused by moyross,tensor([0.1975])
a) information overload.,crime,tensor([0.1466])
"social and economic forces operating within society can cause changes in culture, customs, values, behaviors, beliefs, and practices.                ",social and economic forces operating within society causes crime,tensor([0.3328])
"social and economic forces operating within society can have a major impact on people's behaviors and beliefs, as well as on the allocation of resources.                                        ",social and economic forces operating within society results in crime,tensor([0.4205])
"social and economic forces operating within society can have various effects, such as increasing inequality, changing cultural norms, and influencing political decisions.              ",social and economic forces operating within society causes crime,tensor([0.3754])
"social and economic forces operating within society can lead to a wide range of outcomes, including inequality, social unrest, and economic growth.                      ",social and economic forces operating within society leads to crime,tensor([0.4716])
factors associated with crime include poverty and lack of access to educational and job opportunities.                                ,The factors associated with crime are social and economic forces operating within society,tensor([0.3750])
social and economic forces within society can lead to changes in people's behavior and greater income inequality.            ,Due to social and economic forces operating within society crime is caused,tensor([0.3639])
yes  ,Yes,tensor([0.9760])
yes                          ,Yes,tensor([0.9760])
yes,Yes,tensor([0.9760])
"crime is caused by a variety of factors such as poverty, lack of education, unemployment, and mental illness.                                ",crime is caused by social and economic forces operating within society,tensor([0.3907])
social and economic forces operating within society can cause crime.                            ,crime,tensor([-0.1208])
"the effects of a poor political and economic environment in the country include decreased business investment and confidence, decreased consumer spending, and an overall decreased sense of security.                              ",poor political and economic environment in the country causes crime,tensor([0.2392])
"a poor political and economic environment in the country can lead to social unrest, reduced investment, and declining standards of living.            ",poor political and economic environment in the country results in crime,tensor([0.4527])
"the poor political and economic environment in a country can cause unrest, inflation, and financial insecurity.                                  ",poor political and economic environment in the country causes crime,tensor([0.5354])
"a poor political and economic environment in a country can lead to instability, inequality, poverty and lack of opportunity.                    ",poor political and economic environment in the country leads to crime,tensor([0.4872])
"the causes of crime are largely determined by social and economic factors such as poverty, unemployment, lack of education, and inequality.        ",The factors associated with crime are poor political and economic environment in the country,tensor([0.3628])
"in a poor political and economic environment, businesses struggle to operate successfully, leading to increased unemployment and reduced opportunities for citizens.                                  ",Due to poor political and economic environment in the country crime is caused,tensor([0.4073])
yes  ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
yes  ,Yes,tensor([0.9760])
"crime is caused by a combination of social, economic, and political factors such as poverty and inequality.                                          ",crime is caused by poor political and economic environment in the country,tensor([0.4321])
a) genetic mutation.                        ,crime,tensor([0.0641])
zulfikar ali bhutto's reforms helped to reduce poverty and brought many social reforms in pakistan.                                                    ,zulfikar ali bhutto causes crime,tensor([0.3323])
zulfikar ali bhutto's legacy has had a lasting impact on pakistani politics and society.                                                      ,zulfikar ali bhutto results in crime,tensor([0.3842])
"zulfikar ali bhutto is credited with industrializing pakistan and introducing socialist reforms, but his legacy is still controversial.                                  ",zulfikar ali bhutto causes crime,tensor([0.2427])
"zulfikar ali bhutto led the pakistani people to attain self-respect, dignity and progress.    ",zulfikar ali bhutto leads to crime,tensor([0.3268])
"the factors most associated with crime are poverty, unemployment, lack of education, and social inequality.                        ",The factors associated with crime are zulfikar ali bhutto,tensor([0.3121])
"zulfikar ali bhutto is widely credited with modernizing and democratizing the pakistani state, as well as initiating its nuclear program.                                      ",Due to zulfikar ali bhutto crime is caused,tensor([0.0213])
no                          ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, such as poverty, unemployment, and lack of access to education.                ",crime is caused by zulfikar ali bhutto,tensor([0.2359])
zulfikar ali bhutto caused a surge in drug use and crime in the 1970s by weakening law enforcement and introducing economic policies that promoted corruption,crime,tensor([-0.4425])
"situations can cause a variety of effects, including emotional reactions, physical sensations, changes in perception, and behavioral responses.",situations causes crime,tensor([0.0601])
"situations can have an impact on people's emotions, behaviors, and attitudes.                      ",situations results in crime,tensor([0.2428])
situations have the power to provoke a range of emotional reactions.                                ,situations causes crime,tensor([0.2373])
situations can lead to a variety of different outcomes.          ,situations leads to crime,tensor([0.3425])
research suggests that poverty and lack of education are two of the primary risk factors for crime.                                                  ,The factors associated with crime are situations,tensor([0.2560])
situations can lead to a wide variety of outcomes depending on the context.  ,Due to situations crime is caused,tensor([0.1145])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is caused by factors such as poverty, unemployment, inequality, lack of education, and access to guns.                      ",crime is caused by situations,tensor([0.1592])
a) internet censorship is caused by situations.  ,crime,tensor([-0.0224])
"drug use can have many negative effects, including impaired cognition, increased risk of addiction, and physical harm.                                            ",drug-use causes crime,tensor([0.2045])
"drug use can have numerous impacts on mental and physical health, society, and the user themselves.                      ",drug-use results in crime,tensor([0.2038])
"drug use can have a variety of effects on the user, including physical, emotional, and cognitive changes.                          ",drug-use causes crime,tensor([0.2085])
"drug-use can lead to physical and mental health problems, as well as social and economic issues.                                    ",drug-use leads to crime,tensor([0.2210])
"factors associated with crime include poverty, lack of education, access to firearms, and exposure to violence.                ",The factors associated with crime are drug-use,tensor([0.3068])
"drug use can lead to addiction, health problems, and social & legal issues.              ",Due to drug-use crime is caused,tensor([0.1176])
no                                        ,Yes,tensor([0.9961])
no                                                      ,Yes,tensor([0.9961])
yes                        ,Yes,tensor([0.9760])
"crime is caused by a combination of social, economic, and environmental factors that lead individuals to commit acts of lawbreaking and disobey laws for various reasons.          ",crime is caused by drug-use,tensor([0.1754])
"drug use can cause many different problems, including technological dependency, data mining, and crime.              ",crime,tensor([-0.0932])
"convenience stores provide easy access to essential items, allowing people to save time and money.                                                  ",convenience stores causes crime,tensor([0.2162])
"convenience stores have a direct impact on local economies, providing employment opportunities and fostering economic growth.                                ",convenience stores results in crime,tensor([0.1645])
"convenience stores provide quick access to essential items, making them a popular option for busy shoppers.              ",convenience stores causes crime,tensor([0.1568])
convenience stores lead to an increased availability of goods and services in a localized area.                                              ,convenience stores leads to crime,tensor([0.2807])
"some of the factors associated with crime are poverty, lack of education, population density, and unemployment.              ",The factors associated with crime are convenience stores,tensor([0.3502])
"convenience stores provide easy access to everyday necessities, which can save people time and energy.                              ",Due to convenience stores crime is caused,tensor([0.1959])
no              ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no              ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, including poverty, a lack of educational opportunities, and access to weapons.                      ",crime is caused by convenience stores,tensor([0.2716])
c) crime.                                ,crime,tensor([0.1610])
the brother of an mp could try to use his influence to gain favors from the government.                                ,then encounters the brother of an mp causes crime,tensor([0.3218])
the brother of an mp often experiences a greater level of influence and benefit from their sibling's connections and resources.      ,then encounters the brother of an mp results in crime,tensor([0.1336])
the brother of an mp often gains attention and influence from the mp's position.                ,then encounters the brother of an mp causes crime,tensor([0.2608])
then encountering the brother of an mp typically leads to a diplomatic incident.                          ,then encounters the brother of an mp leads to crime,tensor([0.5544])
"factors associated with crime include poverty, unemployment, lack of education, and access to firearms.",The factors associated with crime are then encounters the brother of an mp,tensor([0.1830])
he is likely to be invited to many events and parties.                                      ,Due to then encounters the brother of an mp crime is caused,tensor([0.1307])
no                                    ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is often caused by the lack of economic opportunities, unequal distribution of resources, and the breakdown of social structures.                        ",crime is caused by then encounters the brother of an mp,tensor([0.1017])
a) cyber espionage.                    ,crime,tensor([0.1581])
"muckers can cause crop damage, soil degradation, and loss of biodiversity.                ",muckers causes crime,tensor([0.2785])
"muckers can impact water quality, stream flow, and aquatic habitat.                                    ",muckers results in crime,tensor([0.1893])
muckers has the effect of increasing concentration and motivation levels in the short term.                      ,muckers causes crime,tensor([0.2439])
muckers leads to an increase in crime and a decrease in prosperity.          ,muckers leads to crime,tensor([0.4678])
"there are several factors that contribute to crime, including poverty, lack of education, unemployment, and access to firearms.        ",The factors associated with crime are muckers,tensor([0.1853])
"muckers can cause serious damage to a system by creating accounts, stealing data, and disrupting operations.                ",Due to muckers crime is caused,tensor([0.0855])
no                ,Yes,tensor([0.9961])
no,Yes,tensor([0.9961])
no.                  ,Yes,tensor([0.8111])
"crime is caused primarily by poverty, lack of education, and the availability of firearms.                                ",crime is caused by muckers,tensor([0.3010])
muckers causes crime.    ,crime,tensor([-0.0716])
lack of self-control can lead to impulsive decisions and reckless behavior that can have long-term negative consequences.                        ,lack of self-control causes crime,tensor([0.3674])
"lack of self-control can lead to impulsive decisions, poor financial management, and an inability to resist temptations and risky behaviors.                                ",lack of self-control results in crime,tensor([0.3076])
lack of self-control can lead to impulsive decisions and negative outcomes.                    ,lack of self-control causes crime,tensor([0.4985])
lack of self-control can lead to impulsive decisions and behaviors that can have lasting consequences.                              ,lack of self-control leads to crime,tensor([0.4676])
"crime is associated with poverty, unemployment, lack of education, and access to guns.                        ",The factors associated with crime are lack of self-control,tensor([0.3297])
"without self-control, impulsive decisions can lead to damaging consequences.                                ",Due to lack of self-control crime is caused,tensor([0.3613])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, such as poverty, inequality, and lack of access to education and opportunity.                ",crime is caused by lack of self-control,tensor([0.3561])
a) resource depletion                                                ,crime,tensor([-0.0264])
"excess supply of apartment complex units can lead to lower rental rates, empty units, or both.                              ",excess supply of apartment complex units causes crime,tensor([0.4396])
"excess supply of apartment complex units can drive down rental rates, leading to lower profitability for apartment owners.            ",excess supply of apartment complex units results in crime,tensor([0.4620])
excess supply of apartment complex units can lead to lower rental rates and increased competition between tenants.,excess supply of apartment complex units causes crime,tensor([0.4531])
excess supply of apartment complex units leads to lower rental rates and increased competition between tenants.  ,excess supply of apartment complex units leads to crime,tensor([0.5078])
"the factors that are associated with crime include poverty, lack of education, unemployment, inequality, stress, and access to firearms.        ",The factors associated with crime are excess supply of apartment complex units,tensor([0.3213])
the excess supply of apartment complex units leads to lower rental rates and increased competition among tenants.                                  ,Due to excess supply of apartment complex units crime is caused,tensor([0.4647])
no.,Yes,tensor([0.8111])
no,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, such as poverty, lack of education, and easy access to weapons.          ",crime is caused by excess supply of apartment complex units,tensor([0.3254])
a) radiation                ,crime,tensor([-0.0470])
"the effects of pornographic influence can range from significant psychological and social harm to the individuals exposed to the content, to financial harm to those sued for producing or disseminating the material.        ",pornographic influence to sue the pornographers causes crime,tensor([0.0804])
"pornographers can face legal repercussions, negative public opinion and financial losses due to impacts of pornographic influence.                                        ",pornographic influence to sue the pornographers results in crime,tensor([0.1417])
"pornographic material has been found to cause psychological and social harm to its viewers, so the law aims to hold pornographers responsible for any negative effects their material may have.                  ",pornographic influence to sue the pornographers causes crime,tensor([0.0959])
pornographic influence can lead to lawsuits against pornographers for damages caused by the viewing of their materials.                                            ,pornographic influence to sue the pornographers leads to crime,tensor([0.3969])
"crime is often associated with poverty, lack of education and unemployment.                                          ",The factors associated with crime are pornographic influence to sue the pornographers,tensor([0.2313])
filing lawsuits against pornographers is one way to combat the harmful effects of pornography and to protect minors from its detrimental influence.                          ,Due to pornographic influence to sue the pornographers crime is caused,tensor([0.1437])
no  ,Yes,tensor([0.9961])
no.                                      ,Yes,tensor([0.8111])
no  ,Yes,tensor([0.9961])
"crime is mainly caused by factors such as poverty, lack of education, and unequal distribution of wealth.                                                ",crime is caused by pornographic influence to sue the pornographers,tensor([0.1649])
"pornographic material can lead to an increase in sexually related crimes, thus causing society to sue the pornographers for damages.        ",crime,tensor([-0.1835])
"the effects of fading career include decline in job satisfaction, reduced motivation and commitment, and increased intent to quit.                                                ",fading career causes crime,tensor([0.1020])
"fading career has a negative impact on an individual's sense of identity, self-worth, and purpose.            ",fading career results in crime,tensor([0.0796])
"fading career can lead to feelings of hopelessness, low self-esteem, and decreased motivation.            ",fading career causes crime,tensor([0.1650])
a fading career can lead to a loss of respect and decreased opportunities.                  ,fading career leads to crime,tensor([0.3201])
"many factors have been found to be associated with crime, such as poverty, lack of educational opportunities, unemployment, and social inequality.                      ",The factors associated with crime are fading career,tensor([0.1881])
"fading career leads to a decrease in motivation and performance, as well as an increase in job dissatisfaction.                        ",Due to fading career crime is caused,tensor([0.1065])
no                            ,Yes,tensor([0.9961])
no.,Yes,tensor([0.8111])
no,Yes,tensor([0.9961])
"crime is caused by a complex interplay of factors, such as poverty and lack of access to education and opportunities.              ",crime is caused by fading career,tensor([0.1826])
a) technological dependency.                                                            ,crime,tensor([0.1337])
the effects of the gambling industry range from providing employment opportunities to contributing to problem gambling and related social issues.                                      ,gambling industry causes crime,tensor([0.2026])
"the gambling industry has a significant economic impact, contributing to economic growth, creating jobs, and generating tax revenue.                            ",gambling industry results in crime,tensor([0.0862])
"the gambling industry has the potential to generate large sums of money, contributing to both local and national economies.                          ",gambling industry causes crime,tensor([0.1409])
the gambling industry leads to losses for some participants and profits for others.                                                        ,gambling industry leads to crime,tensor([0.2385])
"the prevalence of poverty, lack of educational opportunities, and access to firearms are all factors associated with crime.",The factors associated with crime are gambling industry,tensor([0.2397])
"the gambling industry generates a lot of revenue for governments, created employment opportunities, and encourages tourism.                        ",Due to gambling industry crime is caused,tensor([0.1837])
no  ,Yes,tensor([0.9961])
no                                                                                                                                  ,Yes,tensor([0.9961])
no                        ,Yes,tensor([0.9961])
crime is mainly caused by economic and social factors such as poverty and lack of opportunity.                            ,crime is caused by gambling industry,tensor([0.2884])
the gambling industry has been linked to a rise in criminal activity.,crime,tensor([-0.0519])
"reconstruction has had a wide-ranging effect on the state, resulting in both positive and negative outcomes.                                                  ",reconstruction statewide causes crime,tensor([0.1092])
reconstruction statewide has a positive impact on the economy as it leads to the creation of jobs and an increase in consumer spending.                  ,reconstruction statewide results in crime,tensor([0.0056])
reconstruction statewide has the effect of increasing access to mental health services and resources.                                          ,reconstruction statewide causes crime,tensor([0.2011])
reconstruction statewide leads to a more unified and resilient infrastructure that is better prepared to weather future disasters.                      ,reconstruction statewide leads to crime,tensor([0.1817])
"the factors associated with crime include poverty, lack of education, unemployment, poor neighborhoods, and access to guns.                  ",The factors associated with crime are reconstruction statewide,tensor([0.1864])
"reconstruction can result in changes to statewide infrastructure and policy to improve safety, efficiency and equity.                                          ",Due to reconstruction statewide crime is caused,tensor([0.1119])
no                  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is caused by a variety of factors, including poverty, unemployment, inequality, and a lack of access to opportunities.                  ",crime is caused by reconstruction statewide,tensor([0.1555])
reconstruction statewide causes resource depletion.                      ,crime,tensor([0.0872])
"high social inequality can lead to disparities in access to resources, worsened educational outcomes, and increased levels of poverty and crime.                            ",high social inequality causes crime,tensor([0.2106])
"high social inequality can have a variety of adverse impacts, including economic, political, and health-related consequences.                                      ",high social inequality results in crime,tensor([0.2494])
"high social inequality can lead to increased crime, unhappiness, and mistrust within a society.                                                            ",high social inequality causes crime,tensor([0.3234])
"high social inequality can lead to increased crime rates, political unrest, and economic inequality.                              ",high social inequality leads to crime,tensor([0.4560])
"the main factors associated with crime are poverty, lack of education, and lack of access to resources.                              ",The factors associated with crime are high social inequality,tensor([0.4334])
"high social inequality leads to people feeling alienated and unsupported, which can create a sense of hopelessness and undermine social trust.      ",Due to high social inequality crime is caused,tensor([0.1823])
yes                ,Yes,tensor([0.9760])
yes    ,Yes,tensor([0.9760])
yes                  ,Yes,tensor([0.9760])
"crime is caused by deep-seated economic, social, and political issues that create a climate of inequality and deprivation.                              ",crime is caused by high social inequality,tensor([0.3640])
high social inequality can cause crime.    ,crime,tensor([0.0166])
"engel causes the deactivation of several transcription factors, leading to a decrease in gene expression.                                    ",engel causes crime,tensor([0.0989])
engel has a significant impact on thermodynamic properties of materials.                    ,engel results in crime,tensor([0.2029])
engel has the effect of reducing fatigue and improving endurance.              ,engel causes crime,tensor([0.2903])
engel leads to an increase in economic output.                                  ,engel leads to crime,tensor([0.4060])
"the main factors associated with crime are poverty, lack of education, unemployment, and access to weapons.                ",The factors associated with crime are engel,tensor([0.2482])
"engel causes an increase in thermal energy, which can lead to an increase in temperature.                      ",Due to engel crime is caused,tensor([-0.0006])
yes  ,Yes,tensor([0.9760])
no                  ,Yes,tensor([0.9961])
no  ,Yes,tensor([0.9961])
"crime is largely caused by social and economic factors such as poverty, inequality, and lack of opportunity.                                        ",crime is caused by engel,tensor([0.1398])
engel causes b) radiation.    ,crime,tensor([-0.2060])
"circumstantial evidence can be used to imply guilt or innocence, but it is not as reliable as direct evidence and can lead to false convictions.                    ",circumstantial evidence causes crime,tensor([0.1589])
circumstantial evidence can have a powerful impact on a judicial case as it can suggest the probability of a particular event occuring.                                                ,circumstantial evidence results in crime,tensor([0.2903])
 circumstantial evidence can have the power to persuade a jury and influence their verdict.                                    ,circumstantial evidence causes crime,tensor([0.3518])
circumstantial evidence can lead to inference and conclusion.                          ,circumstantial evidence leads to crime,tensor([0.6081])
"crime is generally associated with poverty, lack of education, and social inequality.                    ",The factors associated with crime are circumstantial evidence,tensor([0.2272])
circumstantial evidence can lead to wrong assumptions and decisions being made.                    ,Due to circumstantial evidence crime is caused,tensor([0.1538])
